Wbias,Rd,Wn1,Wn2,Bandwidth,PowerConsumption,VoltageGain
5.9760609269142156e-06,813.655599951744,1.6311475217342376e-05,9.788050904870033e-06,201000000.0,0.00124,13.81
8.072277948260307e-06,1758.428543806076,7.73371359705925e-06,5.292090296745301e-06,108000000.0,0.00108,14.89
8.101528912782669e-06,808.0591708421706,8.328527152538298e-06,9.254917927086353e-06,200000000.0,0.00117,11.27
7.33966950327158e-06,1450.3695964813232,6.580260723829268e-06,8.328198723495007e-06,114000000.0,0.000984,14.5
8.707343101501466e-06,1169.2962981760502,1.5801030516624448e-05,1.0392910063266753e-05,146000000.0,0.00156,16.85
6.744028950110078e-06,1518.0370807647705,8.213779360055923e-06,6.898875758051873e-06,112000000.0,0.00102,15.3
6.233333922922611e-06,712.8774970769881,1.2168661914765834e-05,8.465731318108738e-06,234000000.0,0.00116,11.37
4.980833575129509e-06,509.5425844192504,7.079317092895507e-06,7.746012032032012e-06,324000000.0,0.000833,5.24
6.473306637257338e-06,906.4640328288077,8.03941485285759e-06,8.753469325602055e-06,175000000.0,0.00102,11.62
7.64416265487671e-06,714.4165039062499,9.778891786932945e-06,7.929923534393311e-06,237000000.0,0.00119,10.24
5.203185617923736e-06,1671.625018119812,1.4165412813425063e-05,9.762480080127716e-06,107000000.00000001,0.00107,18.27
4.507841169834137e-06,1667.840152978897,1.539513036608696e-05,1.0238004565238952e-05,105000000.00000001,0.001,18.47
7.036620855331421e-06,1527.9403552412987,1.0865913968533277e-05,5.073438346385956e-06,119000000.0,0.00114,14.449999999999998
8.528453573584557e-06,512.1984183788298,1.0600950241088866e-05,7.031457960605621e-06,328000000.0,0.00133,8.12
4.832040712237358e-06,1907.7498465776443,1.0976181656122207e-05,8.81844674423337e-06,97500000.0,0.000944,18.19
6.432301092892885e-06,915.6118184328078,1.5726001411676407e-05,9.644422054290772e-06,176000000.0,0.00129,14.83
8.619044646620751e-06,507.5300335884093,6.210495144128798e-06,8.870708167552947e-06,322000000.0,0.00105,5.78
7.487000226974487e-06,1968.9445346593857,1.17875048071146e-05,7.6045168042182924e-06,316000000.0,0.00117,4.92
6.5946489851921796e-06,997.0202594995498,7.695543557405471e-06,8.804396595805883e-06,158000000.0,0.00101,12.210000000000003
8.758428990840912e-06,519.6286737918853,1.4144971251487731e-05,8.983104139566421e-06,324000000.0,0.00151,10.23
7.682840310037137e-06,1345.3688696026802,8.999843716621399e-06,6.754488170146943e-06,124000000.00000001,0.00113,14.71
8.492803126573562e-06,1405.5524095892906,6.101343005895614e-06,8.989611454308033e-06,117000000.0,0.00103,14.25
7.2177271619439125e-06,1190.5406564474106,1.3758411496877669e-05,9.842030256986618e-06,137000000.0,0.00132,16.38
7.988060876727105e-06,1275.1382188871503,8.307242095470427e-06,6.604855448007584e-06,129000000.00000001,0.00112,14.04
5.452140212059021e-06,1471.7919752001762,5.918905138969421e-06,1.006053315103054e-05,111000000.0,0.000818,13.93
6.256845094263554e-06,1008.8406652212142,9.631659433245658e-06,7.498677641153335e-06,158000000.0,0.00106,12.950000000000001
8.66910083591938e-06,696.653127670288,7.113328665494918e-06,5.451149761676788e-06,237000000.0,0.00111,8.87
8.557586789131165e-06,1030.5486097931862,1.1421561053488404e-05,6.526884704828262e-06,164000000.0,0.00134,13.419999999999998
8.69136705994606e-06,1110.7549965381622,1.510429698228836e-05,8.368921190500259e-06,151000000.0,0.00152,15.97
4.461037158966064e-06,816.4886385202407,8.295456111431121e-06,8.353455189615489e-06,198000000.0,0.000825,9.8
6.434246867895127e-06,1395.8553411066532,5.988284826278686e-06,1.0368545979261398e-05,116000000.0,0.000896,13.820000000000002
4.4898961186408995e-06,1465.608388185501,6.672974377870559e-06,8.981176003813745e-06,112000000.0,0.00077,13.9
8.909085050225259e-06,691.5027052164077,1.6883776664733886e-05,6.487714499235153e-06,259999999.99999997,0.00158,11.21
8.374256998300553e-06,1093.0393189191818,7.570410907268523e-06,7.758654646575451e-06,145000000.0,0.00111,12.96
5.38458140194416e-06,1731.0943752527237,6.78886529803276e-06,8.304944816976786e-06,101000000.00000001,0.00085,15.610000000000001
7.307613350450993e-06,1290.770904161036,5.982401013374328e-06,9.919227555394173e-06,124000000.00000001,0.0009489999999999999,13.21
6.952652558684349e-06,611.1110895872115,6.020667105913162e-06,9.839490875601768e-06,273000000.0,0.000936,6.85
7.816808804869653e-06,1226.3728398829699,1.1480447623878717e-05,9.336706817150116e-06,133999999.99999999,0.00129,15.789999999999997
6.4081938341259955e-06,1031.069628894329,1.07391806691885e-05,7.2759304493665695e-06,157000000.0,0.00111,13.239999999999998
8.389031812548637e-06,1766.8370008468628,1.2607122682034968e-05,1.0319725811481476e-05,308000000.0,0.0013,7.179999999999999
8.15154741704464e-06,1080.9405222535133,1.0353703312575817e-05,8.62070656567812e-06,150000000.0,0.00127,14.359999999999998
6.405245650559664e-06,699.5217949151992,7.038873583078384e-06,8.418475811369717e-06,237000000.0,0.0009550000000000001,8.58
8.871001973748207e-06,1226.5022564679384,1.6507108718156815e-05,6.139209151268006e-06,151000000.0,0.00152,13.820000000000002
4.93277496099472e-06,1589.6138176321983,9.352140456438063e-06,8.560258199460804e-06,107000000.00000001,0.00091,16.33
7.360622853040695e-06,1421.7980466783047,1.3881835028529166e-05,6.1070878803730016e-06,129999999.99999999,0.00129,14.74
6.213986176997424e-06,1218.5221733525395,1.3303421929478645e-05,9.213248237967491e-06,132999999.99999999,0.00119,16.18
5.118767648935318e-06,1375.42275339365,1.300659441947937e-05,8.592364045791329e-06,120000000.0,0.00103,16.45
6.44598937779665e-06,907.1873128414153,1.3314315900206565e-05,8.493970220908522e-06,177000000.0,0.00122,13.9
8.278477057814599e-06,1312.6537650823593,6.552562087774276e-06,8.069247249513864e-06,124000000.00000001,0.00104,13.730000000000002
8.37471391260624e-06,931.9350942969321,1.396118913590908e-05,6.889812737703323e-06,182000000.0,0.00144,13.460000000000003
8.230681970715523e-06,1117.7283599972725,1.0549271740019321e-05,9.076455846428871e-06,145000000.0,0.00129,14.84
8.283300206065178e-06,1837.8662317991257,8.006966024637222e-06,5.311191827058793e-06,124000000.00000001,0.00111,13.43
6.032941728830338e-06,1249.7746162116528,1.3405271425843238e-05,9.290162861347198e-06,129999999.99999999,0.00117,16.35
5.548193871974945e-06,902.2182077169417,1.5973942756652832e-05,1.0087314262986184e-05,176000000.0,0.00117,14.48
5.7048224061727525e-06,791.4115041494368,1.0886533498764038e-05,8.321514293551445e-06,207000000.0,0.00106,11.520000000000001
4.4545129537582395e-06,1100.087482482195,7.982271581888198e-06,9.871252700686456e-06,143000000.0,0.000817,12.27
6.0408103913068774e-06,809.1427832841872,8.808727979660033e-06,8.454230271279813e-06,201000000.0,0.00102,10.939999999999998
7.381917580962181e-06,605.1434874534606,8.693378955125809e-06,8.062771957367658e-06,278000000.0,0.00113,8.66
5.935213297605515e-06,611.4794462919234,1.6593654006719588e-05,9.221424274146557e-06,276000000.0,0.00124,11.340000000000002
5.831491470336914e-06,1465.736798942089,7.06665614247322e-06,7.299173429608345e-06,113000000.0,0.000901,14.42
7.595647595822811e-06,523.5182344913482,1.3086869060993194e-05,8.63859723508358e-06,324000000.0,0.00136,9.54
4.966458275914193e-06,1103.7575602531433,8.183776438236236e-06,8.410405413247645e-06,143000000.0,0.000871,12.56
8.502742186188698e-06,706.1919569969176,1.2103587765246629e-05,8.883469928056001e-06,240000000.0,0.00141,12.03
5.433634713292122e-06,620.8625733852385,5.87625765800476e-06,8.823278140276671e-06,274000000.0,0.000823,6.18
4.997029691934586e-06,706.6147178411483,7.99558326601982e-06,9.05532432347536e-06,234000000.0,0.000875,8.78
8.221208274364472e-06,811.1341446638106,1.5431802242994307e-05,6.136611044406891e-06,231000000.0,0.00145,11.07
4.552925884723664e-06,1767.284482717514,1.0752136662602424e-05,9.658863201737404e-06,99999999.99999999,0.000903,17.68
5.894158333539963e-06,1009.9136605858802,9.401273801922797e-06,7.564813166856766e-06,157000000.0,0.00102,12.9
4.9284521788358685e-06,712.818220257759,9.668567344546317e-06,8.123172465711832e-06,233000000.0,0.000921,9.61
8.425968915224076e-06,1120.1784908771515,9.681906402111053e-06,8.398975758813321e-06,145000000.0,0.00126,14.42
6.481586733832955e-06,924.0308478474616,1.080153702199459e-05,7.497953534126282e-06,175000000.0,0.00112,12.49
6.882584910839796e-06,901.310123503208,1.468796607851982e-05,9.77953727543354e-06,179000000.0,0.00132,14.62
5.3104753196239475e-06,1828.0681669712067,9.87090454995632e-06,8.275645732879639e-06,99999999.99999999,0.0009669999999999999,17.59
6.392233952879906e-06,1937.585398554802,5.9861218333244315e-06,9.058788239955902e-06,94700000.0,0.000881,16.32
5.052272871136666e-06,505.14447689056385,9.688614040613174e-06,7.1852433979511265e-06,325000000.0,0.000939,6.69
8.032033279538154e-06,906.3303023576735,5.9484448432922355e-06,1.0508037447929382e-05,174000000.0,0.000989,10.46
7.976137652993202e-06,1770.182117819786,1.609323453903198e-05,1.1865433543920517e-05,507000000.0,0.00134,1.71
6.089125156402588e-06,714.2324596643447,5.826209843158722e-06,6.0836704969406136e-06,236000000.0,0.000845,7.1899999999999995
4.4702950716018675e-06,909.8079875111579,1.5627038419246674e-05,9.226981706917285e-06,175000000.0,0.000996,13.52
8.42926548421383e-06,1760.8375251293182,6.3893603682518e-06,7.081852763891221e-06,103000000.00000001,0.00103,15.71
4.872491240501404e-06,621.1796104907988,1.229007226973772e-05,7.605315491557122e-06,274000000.0,0.000983,9.21
5.050227150321007e-06,615.1866614818572,1.15699108466506e-05,7.309843212366104e-06,276000000.0,0.000993,8.95
7.413152307271957e-06,872.5504726171492,1.3002960637211798e-05,6.518978983163834e-06,196000000.0,0.00128,11.84
4.8350109905004505e-06,1303.7149459123611,1.1184654977172613e-05,7.520593091845513e-06,124000000.00000001,0.00095,15.28
5.315148800611496e-06,1319.9590183794498,1.2265754990279674e-05,8.361509524285794e-06,124000000.00000001,0.00104,15.91
4.929721266031265e-06,1301.6920685768127,1.0542038105428218e-05,7.490721747279167e-06,124000000.00000001,0.0009430000000000002,15.049999999999999
5.344540715217591e-06,1938.2506757974625,6.022792071104049e-06,9.665254577994346e-06,94100000.0,0.000814,16.22
6.224799066781998e-06,1219.8781305924058,1.2193825557827949e-05,8.615057237446309e-06,132999999.99999999,0.00115,15.6
