C1,WNOUT,WPOUT,WCS,WN1,WP1,Bandwidth,PowerConsumption,VoltageGain
1.5058892369270324e-13,1.5084135532379152e-06,3.93747290968895e-06,5.682219684123993e-06,3.1676545441150665e-06,4.210972607135773e-06,144000000.0,0.0212,21.13
2.4937087297439576e-13,4.488933026790619e-06,2.165747076272965e-06,4.761194229125977e-06,3.426056481897831e-06,4.138673722743988e-06,123000000.00000001,0.0575,17.97
1.4921921491622925e-13,2.490973770618439e-06,4.126152098178864e-06,4.355815708637238e-06,3.5915137231349944e-06,4.463053166866302e-06,180000000.0,0.0328,19.89
1.4837586879730225e-13,2.47896645963192e-06,4.506098091602326e-06,5.941384136676789e-06,3.985919326543808e-06,3.733701467514038e-06,93900000.0,0.0359,24.41
1.9144438430666924e-13,1.5002115368843079e-06,3.145951431244612e-06,5.715713381767273e-06,3.025990664958954e-06,4.29620748758316e-06,136000000.0,0.020899999999999995,19.88
1.501825213432312e-13,2.4799263328313827e-06,1.8080653846263886e-06,4.308012366294862e-06,3.4547931253910064e-06,4.335770905017853e-06,186000000.0,0.0315,19.12
1.5031397342681884e-13,4.670664310455323e-06,2.4859846830368045e-06,5.685215413570405e-06,3.59215135127306e-06,2.8922372460365294e-06,10199999.999999994,0.0755,44.25
1.510187268257141e-13,2.5378370583057404e-06,4.181460410356522e-06,5.5887905955314645e-06,3.993071287870407e-06,2.9683395624160767e-06,8420000.000000004,0.0399,46.4
2.0991917103528976e-13,1.5065274238586428e-06,3.3256368041038514e-06,5.140073001384736e-06,2.782910704612732e-06,2.8392645120620728e-06,12400000.000000006,0.023,39.88
1.506503701210022e-13,2.49428303539753e-06,4.0194745659828184e-06,5.849866509437562e-06,3.127710551023483e-06,4.222693383693695e-06,157000000.0,0.0346,19.04
1.7420432567596436e-13,1.919155240058899e-06,2.306663230061531e-06,5.93041080236435e-06,3.7737125754356383e-06,2.552146553993225e-06,91200000.0,0.0864,3.9799999999999995
1.4892437458038331e-13,4.48608523607254e-06,1.912994921207428e-06,4.557302087545395e-06,3.2617210894823075e-06,4.2737615704536435e-06,188000000.0,0.0566,18.33
1.8615974187850953e-13,1.8238711953163147e-06,3.0395524492487315e-06,5.660809934139252e-06,3.4963213298469784e-06,2.992135167121887e-06,9329999.999999996,0.030599999999999992,39.64
2.015397869050503e-13,4.5161994695663454e-06,2.35141995549202e-06,5.185066968202592e-06,3.4287518933415415e-06,3.6729587316513062e-06,130000000.0,0.059,16.07
1.9391390010714532e-13,2.492779523134232e-06,3.0495408698916437e-06,4.4771987199783334e-06,3.436010517179966e-06,3.948205858469009e-06,135000000.0,0.032999999999999995,18.92
1.5040189623832703e-13,1.5175929665565491e-06,2.481898695230484e-06,6.059450984001161e-06,2.9425084590911866e-06,4.2509353160858155e-06,164000000.0,0.020999999999999998,18.77
2.5316034555435183e-13,1.4669589400291443e-06,2.4753516465425494e-06,5.711409628391266e-06,4.0627360343933106e-06,2.640641987323761e-06,52200000.0,0.0856,5.449999999999999
2.2219501733779908e-13,4.491165161132813e-06,1.4358369112014772e-06,5.4552835226058965e-06,3.3581349700689316e-06,3.909575194120407e-06,131000000.0,0.0574,15.300000000000002
2.3774593770503997e-13,3.4825857728719713e-06,3.4225477874279025e-06,4.751274317502976e-06,3.3085283041000366e-06,3.913598209619522e-06,115000000.0,0.0467,18.21
2.2031475752592086e-13,4.5042437911033636e-06,2.3366073220968246e-06,4.8819142356514936e-06,3.46643678098917e-06,3.405876092612743e-06,109000000.0,0.05909999999999999,16.07
2.2730055153369905e-13,1.5165007710456849e-06,1.5671805739402772e-06,6.334183812141419e-06,2.755870461463928e-06,4.2002299427986144e-06,124000000.0,0.020700000000000003,17.22
2.2054619789123536e-13,3.494533136487007e-06,2.588575690984726e-06,5.352474719285965e-06,3.1146537661552427e-06,3.8535381257534025e-06,124000000.0,0.0465,16.71
2.3313480615615845e-13,4.486732721328735e-06,1.4317739009857178e-06,4.493755280971528e-06,3.3850694671273233e-06,3.1104902029037477e-06,98400000.0,0.0575,14.86
2.5172133445739744e-13,4.477448344230652e-06,3.962858229875565e-06,3.893308401107788e-06,3.51015261746943e-06,3.4801888689398767e-06,95600000.0,0.0586,19.18
1.8746610879898072e-13,4.180115282535553e-06,4.621888875961304e-06,5.999727606773377e-06,3.4062714353203772e-06,2.6178269386291505e-06,117000000.00000001,0.164,2.239999999999999
2.2111701965332032e-13,4.5082944631576545e-06,3.1024063713848592e-06,5.083479061722756e-06,3.5304495189338923e-06,3.627939194440842e-06,112000000.0,0.0599,17.06
1.5823759734630584e-13,4.4122570753097535e-06,1.6743083596229554e-06,5.446951895952225e-06,3.727177694439888e-06,2.6716931462287905e-06,14400000.0,0.061000000000000006,32.5
2.525460481643677e-13,2.497740536928177e-06,4.179047673940659e-06,3.9528317451477055e-06,3.992021650075912e-06,4.10430908203125e-06,107000000.0,0.0325,20.18
2.498224526643753e-13,3.486884593963623e-06,2.8049536496400835e-06,4.066476464271546e-06,3.821836709976197e-06,2.770724356174469e-06,74600000.0,0.0469,17.9
2.0438346080482007e-13,4.516096115112305e-06,3.174915958195925e-06,5.2340176403522495e-06,3.384739466011524e-06,3.78133299946785e-06,127000000.0,0.0599,16.97
1.8743667304515838e-13,1.497646450996399e-06,3.5548438131809235e-06,4.916091836988927e-06,3.825690180063248e-06,3.922993272542954e-06,121000000.0,0.020599999999999997,20.9
1.6594470739364625e-13,1.5056775212287903e-06,1.5282466113567354e-06,6.424183011054993e-06,2.7755086421966554e-06,4.138052582740784e-06,154000000.0,0.0208,17.16
2.3023427426815035e-13,4.5951361656188965e-06,2.96231453306973e-06,4.892193086445332e-06,3.6561982929706574e-06,2.6250746846199037e-06,17600000.000000004,0.0625,27.3
2.257309764623642e-13,2.2712500691413882e-06,2.2598982006311416e-06,5.806190609931947e-06,3.7919486463069916e-06,2.667905867099762e-06,54400000.0,0.0837,9.62
1.552735149860382e-13,2.577111348509789e-06,3.7057158797979356e-06,5.3969178497791295e-06,3.921801894903183e-06,2.868499934673309e-06,8729999.999999998,0.0384,44.17
1.9738562293350697e-13,1.504020094871521e-06,3.4852918982505802e-06,5.731691777706147e-06,3.136440485715866e-06,4.299491882324219e-06,128000000.0,0.020999999999999998,20.33
2.1855598390102388e-13,4.517592072486878e-06,1.5073080360889436e-06,5.416054874658585e-06,3.0548447668552398e-06,2.9113849401474e-06,29000000.000000004,0.0583,17.53
1.9699733182787895e-13,4.481460928916932e-06,1.4988291263580323e-06,4.498649954795838e-06,3.3466146141290664e-06,4.301606595516205e-06,155000000.0,0.0558,18.45
2.5299032330513e-13,3.4790275990962982e-06,1.6150786578655243e-06,3.930627942085267e-06,3.904501140117645e-06,4.286527812480927e-06,116000000.0,0.043,20.01
2.009518369100988e-13,1.5092294812202455e-06,1.6189552545547485e-06,6.090611577033997e-06,3.6098236963152887e-06,4.014018237590789e-06,124000000.0,0.020599999999999997,18.36
2.387206733226776e-13,3.481495410203934e-06,3.519521489739418e-06,4.711969614028931e-06,3.3140086680650712e-06,3.9354731738567355e-06,115000000.0,0.0467,18.33
1.5073286294937134e-13,3.5045223087072375e-06,1.506152004003525e-06,5.205404162406922e-06,3.388696312904358e-06,3.6858893334865572e-06,167000000.0,0.04510000000000001,15.69
2.2184966504573822e-13,3.5374648422002794e-06,2.361768141388893e-06,5.068650700151921e-06,2.897278189659119e-06,2.7809023261070253e-06,28000000.0,0.0477,24.9
2.176307126879692e-13,3.488664105534554e-06,4.500685036182404e-06,4.756517976522447e-06,3.915820300579071e-06,3.3114026188850403e-06,92600000.0,0.0481,19.44
1.966819781810045e-13,1.5106356739997866e-06,1.507773131132126e-06,6.1809800863265996e-06,3.3448243886232376e-06,3.998617798089981e-06,127000000.0,0.020599999999999997,17.93
2.477229446172714e-13,3.4903407990932466e-06,2.529553234577179e-06,4.127353191375733e-06,3.4406361356377604e-06,3.62681645154953e-06,107000000.0,0.0455,18.4
2.1742405593395232e-13,2.5568650066852572e-06,3.789087027311325e-06,5.106419876217843e-06,3.4222092553973197e-06,2.857058823108673e-06,11700000.000000006,0.0369,38.32
1.4758242964744568e-13,3.2212493866682056e-06,3.812136769294739e-06,5.3057191371917735e-06,3.974309235811234e-06,2.658328711986542e-06,18400000.000000004,0.11400000000000002,25.249999999999996
