C1_VCO,L1_VCO,Rp_VCO,Wn_VCO,Wn6_VCO,Wvar_VCO,L1p_PA,L1s_PA,L3p_PA,L3s_PA,Wn1_PA,Wn2_PA,PowerConsumption,Bandwidth,OutputPower,VoltageSwing,TuningRange_VCO,PhaseNoise_VCO,LargeSignal_PowerGain_PA,DrainEfficiency_PA,PAE_PA
1e-13,1.2e-10,400,2e-06,8e-06,4e-06,3.5e-10,1.2e-10,7.13e-10,9e-11,2.7e-05,2.1e-05,0.0391,5420000000.0,4.543,1.08,3620000000.0,-89.55,13.33,15.54,14.8
1e-13,1.2e-10,400,1.5e-06,8e-06,4e-06,3.5e-10,1.2e-10,7.13e-10,9e-11,2.7e-05,2.1e-05,0.0372,5450000000.0,4.515,1.067,3990000000.0,-92.62,13.57,15.4,14.72
1e-13,1.2e-10,400,2.5e-06,8e-06,3.5e-06,3.5e-10,1.2e-10,7.13e-10,9e-11,2.7e-05,2.1e-05,0.0403,5350000000.0,4.565,1.083,3120000000.0,-87.05,13.07,15.65,14.87
1e-13,1.2e-10,400,2.5e-06,8e-06,4.5e-06,3.5e-10,1.2e-10,7.13e-10,9e-11,2.7e-05,2.1e-05,0.0403,5350000000.0,4.569,1.063,3490000000.0,-88.13,13.27,15.67,14.88
1e-13,1.2e-10,400,2e-06,7.5e-06,4e-06,3.5e-10,1.2e-10,7.13e-10,9e-11,2.7e-05,2.1e-05,0.0388,5420000000.0,4.541,1.08,3620000000.0,-89.47,13.35,15.53,14.79
1e-13,1.2e-10,400,2e-06,7.5e-06,3.5e-06,3.5e-10,1.2e-10,7.13e-10,9e-11,2.7e-05,2.1e-05,0.0388,5370000000.0,4.549,1.069,3410000000.0,-88.95,13.18,15.58,14.83
1e-13,1.2e-10,400,1.5e-06,7.5e-06,4.5e-06,3.5e-10,1.2e-10,7.13e-10,9e-11,2.7e-05,2.1e-05,0.037,5530000000.0,4.509,1.076,4180000000.0,-93.26,13.75,15.37,14.71
1e-13,1.2e-10,400,2e-06,8.5e-06,4.5e-06,3.5e-10,1.2e-10,7.13e-10,9e-11,2.7e-05,2.1e-05,0.0395,5450000000.0,4.547,1.076,3790000000.0,-90.26,13.43,15.55,14.81
1e-13,1.2e-10,400,2e-06,7.5e-06,3.5e-06,3.5e-10,1.2e-10,7.13e-10,9e-11,2.7e-05,1.6e-05,0.0366,4910000000.0,3.707,0.968,3410000000.0,-89.13,11.93,13.65,12.76
1e-13,1.2e-10,400,1.5e-06,7.5e-06,4.5e-06,3.5e-10,1.2e-10,7.13e-10,9e-11,2.7e-05,1.6e-05,0.0349,4940000000.0,3.679,0.922,4180000000.0,-93.23,12.25,13.54,12.71
