Wbias,Rd,Wn1,Wn2,Bandwidth,PowerConsumption,VoltageGain
8.0165883153677e-06,1372.4921271204948,9.174904853105545e-06,7.899115920066833e-06,128000000.00000001,0.00117,14.86
4.521444261074066e-06,1484.3638241291046,1.3544818073511124e-05,9.316345244646072e-06,113000000.0,0.0009650000000000001,17.0
8.215520918369294e-06,1153.0748568475246,1.1739171724766493e-05,5.527415275573731e-06,183000000.0,0.00129,11.65
7.935206741094589e-06,999.2334395647048,1.0304933197796344e-05,7.141446709632874e-06,182000000.0,0.00121,11.92
6.950611112639308e-06,1354.7437824308872,1.2001408107578753e-05,8.838438387960196e-06,128000000.00000001,0.00123,16.22
5.41728276014328e-06,1517.2664374113083,1.0898932885378599e-05,7.901270925998688e-06,114000000.0,0.00101,16.27
8.184545561671256e-06,1453.4412398934364,9.932563289999962e-06,7.242877498269081e-06,124000000.00000001,0.00122,15.430000000000001
5.9883347153663635e-06,988.2716089487075,5.9880501031875605e-06,5.579780459403992e-06,157000000.0,0.000842,10.14
6.632375403307378e-06,1074.8664140701294,1.2395094543695449e-05,8.909610223025084e-06,157000000.0,0.00121,14.42
6.103907816112042e-06,1375.8174516260624,7.6153302192687985e-06,7.821252197027207e-06,119000000.0,0.000942,14.3
4.4268245100975035e-06,1392.9190039634705,1.558876773715019e-05,1.023838685452938e-05,118000000.0,0.000994,17.18
6.141658499836921e-06,1071.2830945849419,1.1494258115068077e-05,8.454207056201995e-06,156000000.0,0.00112,13.85
6.158994287252426e-06,685.5017989873885,1.4049359947443007e-05,9.153500333428383e-06,237000000.0,0.00121,12.04
8.611243173480034e-06,505.8709532022475,7.577297866344451e-06,7.759664714336396e-06,324000000.0,0.00113,6.56
8.570808336138726e-06,1113.9604039490223,1.391430565714836e-05,6.457826465368271e-06,256000000.00000003,0.00141,9.689999999999998
7.793400295078754e-06,863.5484427213668,1.0611824952065944e-05,8.461035216227174e-06,201000000.0,0.00125,11.86
7.798698730766774e-06,1057.7299371361732,1.2539356224238871e-05,9.225435391068458e-06,161000000.0,0.00134,14.73
8.163695409893989e-06,1392.3961855471134,1.1975879184901713e-05,8.913697119802237e-06,127000000.00000001,0.00134,16.61
6.533573627471924e-06,1020.1990827918052,1.5669716387987135e-05,1.0468504041433334e-05,159000000.0,0.0013,15.68
4.5443534106016156e-06,488.9862239360808,1.3694344878196715e-05,8.249593526124955e-06,326000000.0,0.000984,7.93
4.500937566161156e-06,1704.431563615799,7.116536110639571e-06,8.860983703285456e-06,101999999.99999999,0.000783,15.46
4.466880887746811e-06,592.696651816368,1.2178310640156269e-05,9.048166856169701e-06,274000000.0,0.000938,9.17
5.451837658882141e-06,992.50690639019,8.319584399461746e-06,7.832128927111626e-06,157000000.0,0.000922,12.0
7.767786540091039e-06,1431.5788447856903,1.1457248413935303e-05,8.602082923054696e-06,124000000.00000001,0.00128,16.5
6.944372244179249e-06,597.7988839149474,1.5894275248050688e-05,1.0347495138645172e-05,276000000.0,0.00138,11.92
6.0752311125397684e-06,1754.6893656253815,1.0958934098482131e-05,1.0363313466310501e-05,105000000.00000001,0.00109,17.99
5.794301368296147e-06,1592.8607881069183,1.2971868187189102e-05,8.962619170546531e-06,113000000.0,0.00112,17.45
7.702191442251205e-06,879.6500116586684,6.3692082762718195e-06,8.38436563871801e-06,174000000.0,0.000992,10.52
7.469883777201176e-06,1625.174567103386,6.2817660570144645e-06,7.540558606386185e-06,107000000.00000001,0.000946,14.849999999999998
7.289983492344618e-06,493.66265535354603,7.369169294834136e-06,8.006480172276497e-06,324000000.0,0.00103,6.140000000000001
5.055639177560807e-06,1087.778702378273,8.71438667178154e-06,7.768716052174568e-06,144000000.0,0.0009,12.74
8.086531072854996e-06,1730.0931960344315,1.3776254057884215e-05,4.969002962112427e-06,213000000.0,0.00127,7.42
5.022180497646332e-06,1072.0369294285774,1.0733151629567145e-05,7.758839845657348e-06,147000000.0,0.00097,13.620000000000001
4.573962181806565e-06,893.8521072268485,8.65268039703369e-06,8.132753793150187e-06,176000000.0,0.000845,10.849999999999998
7.36970454454422e-06,841.4059132337569,1.2460339203476906e-05,8.902744140475988e-06,209000000.0,0.0013,12.67
6.923384277150035e-06,2021.558165550232,1.1893019188195466e-05,6.225816607475281e-06,241000000.0,0.00112,7.33
5.824458315968514e-06,1370.876207947731,1.3238030731678008e-05,9.254657417535783e-06,125000000.00000001,0.00113,16.51
7.010223761200905e-06,1658.3882719278336,9.947584092617034e-06,1.0019379943609237e-05,109000000.0,0.00115,17.35
5.029440701007843e-06,1333.3375304937363,1.2869583420455456e-05,8.661874976009131e-06,125000000.00000001,0.00102,15.94
4.459936916828156e-06,689.4558668136596,1.4347562193870543e-05,9.36696045100689e-06,235000000.0,0.000978,11.09
7.21065216511488e-06,1150.6327837705612,1.5209528982639313e-05,1.0362271636724471e-05,145000000.0,0.00137,16.5
5.541256338357925e-06,1848.7497419118881,9.815408438444136e-06,7.617743492126465e-06,101999999.99999999,0.000986,17.22
7.176722288131714e-06,1299.1879358887672,1.1946260310709476e-05,5.462972462177277e-06,140000000.0,0.00123,13.7
7.505921468138695e-06,977.7652397751807,1.0928646706044674e-05,8.636429738253354e-06,177000000.0,0.00124,12.99
4.995007440447807e-06,905.3853824734687,1.5230507194995878e-05,9.650465041399002e-06,176000000.0,0.00107,13.820000000000002
5.461155921220779e-06,1952.3180574178696,9.299716889858246e-06,9.720455586910249e-06,96900000.00000001,0.0009610000000000002,17.95
8.114746570587158e-06,653.2923579216002,9.622522115707398e-06,8.120684247463941e-06,274000000.0,0.00121,9.05
8.809069901704789e-06,841.2120342254638,5.966795861721038e-06,4.9995944499969485e-06,177000000.0,0.00101,9.74
8.206135734915733e-06,1747.541144490242,1.3375487327575683e-05,9.028939321637154e-06,285000000.0,0.00134,8.09
8.428799316287041e-06,515.4972672462462,1.1578922402113676e-05,7.969916939735413e-06,324000000.0,0.00135,8.78
6.989777080714703e-06,1921.5202182531357,6.209793269634246e-06,6.886547788977624e-06,97500000.0,0.000908,15.86
7.512593798339367e-06,1142.3579901456833,1.1162845481187104e-05,8.748472653329373e-06,149000000.0,0.00125,14.61
7.510177731513977e-06,820.7083344459533,1.0491211622953414e-05,8.491714551113546e-06,205000000.0,0.00122,11.899999999999999
7.697350122034549e-06,828.4389972686766,1.3640819817781447e-05,9.39759773015976e-06,208000000.0,0.00138,13.419999999999998
8.69107349216938e-06,1060.178816318512,1.611836990714073e-05,1.0625587284564972e-05,160000000.0,0.00157,16.41
5.384441256523132e-06,998.8510906696318,8.602044463157653e-06,7.772805765271188e-06,156000000.0,0.000928,12.18
4.938136026263237e-06,1801.9957542419434,1.3416268169879913e-05,9.2499318420887e-06,103999999.99999999,0.00102,18.22
8.668968603014946e-06,1703.1167894601822,1.5718870878219603e-05,5.879610419273377e-06,359000000.0,0.00135,2.4200000000000004
5.77362609654665e-06,1041.1806181073189,1.1291343322023748e-05,8.245787374675274e-06,157000000.0,0.00107,13.58
8.622907429933549e-06,592.1179652214049,1.59528734087944e-05,1.047147724032402e-05,276000000.0,0.00157,12.56
7.689380005002023e-06,1683.6302280426025,8.519291132688521e-06,8.52702416293323e-06,109000000.0,0.00112,16.5
6.584146929904819e-06,1457.3350697755814,7.008876889944076e-06,7.994067505002022e-06,114000000.0,0.000944,14.48
8.429237991571427e-06,624.1080462932586,1.2667099349200725e-05,8.463028212077916e-06,279000000.0,0.00141,10.84
5.305298253893852e-06,1614.5302429795265,1.3502452850341795e-05,9.079535856842994e-06,111000000.0,0.00107,17.59
7.185534417629242e-06,1630.1369220018387,6.609237223863601e-06,7.76928797364235e-06,107000000.00000001,0.0009529999999999999,15.06
6.218324113637209e-06,935.75531989336,9.899074107408523e-06,7.978524811565876e-06,175000000.0,0.00107,12.22
8.352052867412568e-06,1326.5199810266495,1.47437587082386e-05,4.96415138244629e-06,143000000.0,0.00139,12.569999999999999
5.817839093506337e-06,1616.6842356324196,8.477415353059769e-06,7.2901867628097535e-06,108000000.0,0.000958,15.75
4.470111340284348e-06,489.622801542282,1.2623406186699866e-05,9.16748596727848e-06,323000000.0,0.000942,7.72
7.726182527840138e-06,1905.4054617881775,1.1412933212704956e-05,9.030424356460571e-06,258000000.00000003,0.0012,8.31
8.772659182548524e-06,1717.0775532722473,1.591656869649887e-05,9.732524454593658e-06,485000000.0,0.0014,1.6100000000000005
7.993875905871391e-06,1291.810137219727,8.27280107140541e-06,7.839883401989937e-06,132999999.99999999,0.00112,13.910000000000002
7.843421079218388e-06,1187.6993644982576,1.0289580471813678e-05,8.521795365959406e-06,144000000.0,0.00123,14.48
8.486987560987473e-06,1321.098867803812,1.3210021317005157e-05,9.003520578145981e-06,133999999.99999999,0.00143,16.61
4.485230684280396e-06,487.85191774368275,1.2014031440019606e-05,8.732948761433363e-06,324000000.0,0.000934,7.45
5.745412945747375e-06,1855.3029149770737,7.736706316471099e-06,7.29321201145649e-06,99800000.0,0.000915,16.39
8.608722031116485e-06,702.0601481199263,1.4944634795188904e-05,9.379091382026672e-06,237000000.0,0.00152,13.41
5.843276895582676e-06,495.1403737068175,1.1654866058379411e-05,7.782753005623817e-06,324000000.0,0.0011,8.09
4.466422498226166e-06,691.0583972930907,1.3517443984746933e-05,9.233687415719033e-06,234000000.0,0.0009610000000000002,10.87
7.66309167444706e-06,711.6278558969497,7.558402657508849e-06,8.29618620686233e-06,234000000.0,0.00107,9.28
7.433042094111443e-06,1501.9062533974648,9.211911439895628e-06,7.76456093788147e-06,119000000.0,0.00113,15.51
6.8850856684148315e-06,1154.077310115099,1.3732880115509033e-05,9.559034794569015e-06,145000000.0,0.00128,15.789999999999997
8.495898798108101e-06,1862.4363392591476,6.306941747665405e-06,7.056040361523628e-06,101000000.00000001,0.000995,15.69
7.424139641225338e-06,1192.4922093749046,9.279290735721587e-06,8.204052232205868e-06,143000000.0,0.00114,13.76
6.20560772716999e-06,1482.7108904719353,1.2261255748569964e-05,8.772680066525936e-06,119000000.0,0.00115,16.77
8.575044214725495e-06,1793.8978523015976,1.5637650787830353e-05,1.070638644695282e-05,552000000.0,0.00135,0.09999999999999952
7.588595867156982e-06,726.9975394010543,1.0868302300572395e-05,8.60814106091857e-06,236000000.0,0.00125,11.13
6.508085165172816e-06,1800.8409291505814,6.168088287115096e-06,5.649661272764206e-06,99999999.99999999,0.000873,15.17
6.788499183487147e-06,1363.01913484931,1.5079564839601516e-05,1.0138602986931801e-05,127000000.00000001,0.00131,17.44
5.795740909874439e-06,1405.0768427550793,7.656155973672867e-06,7.7875135242939e-06,117000000.0,0.000919,14.449999999999998
4.452476352453232e-06,597.1217602491378,1.3446458280086517e-05,9.332086279988289e-06,273000000.0,0.000962,9.61
5.608505085110664e-06,1210.5871625244617,1.6707895308732985e-05,1.12976416349411e-05,133999999.99999999,0.00119,17.08
6.919529423117638e-06,1916.3410067558289,7.12158265709877e-06,1.0156575694680214e-05,98200000.0,0.000991,16.98
5.38800859451294e-06,1995.1461851596832,7.367209881544113e-06,8.826034273952245e-06,94599999.99999999,0.000869,16.96
5.17448665201664e-06,1896.096721291542,8.341666400432587e-06,7.483456894755364e-06,98300000.00000001,0.000892,16.82
4.9450516998767855e-06,1012.8255784511565,1.3589137136936187e-05,8.815740026533604e-06,157000000.0,0.00103,14.12
4.5021831840276716e-06,1300.587523728609,1.2727611191570758e-05,9.016847506165505e-06,125000000.00000001,0.0009480000000000001,15.65
5.10270631313324e-06,1791.6460037231445,1.1756119977682829e-05,8.11317364498973e-06,103999999.99999999,0.001,17.64
8.886141166090965e-06,579.3441683053969,5.969722688198089e-06,7.432687938213349e-06,275000000.0,0.00103,6.93
8.118470415472984e-06,1598.1679633259773,8.841528892517088e-06,9.32818703353405e-06,112000000.0,0.00118,16.64
7.2800319604575635e-06,1806.0327023267746,7.762058705091476e-06,7.969627797603607e-06,103999999.99999999,0.00104,16.37
7.287432912737131e-06,490.8037781715392,1.2829971604049205e-05,8.792687017470599e-06,324000000.0,0.00131,9.37
8.606146574020386e-06,1584.5261365175247,8.52868989109993e-06,8.532414115965366e-06,113000000.0,0.00119,16.27
8.036814585328102e-06,1081.5248750150204,9.191594779491423e-06,7.733786702156066e-06,162000000.0,0.00117,12.5
6.12622506916523e-06,600.4954427480696,1.416100913286209e-05,9.228772521018982e-06,277000000.0,0.00121,10.79
4.443454742431641e-06,1313.239224255085,1.436292016506195e-05,9.503705695271493e-06,124000000.00000001,0.000975,16.26
5.853580333292485e-06,601.2597382068633,1.0490876339375972e-05,8.010877490043641e-06,275000000.0,0.00106,9.17
4.85457019507885e-06,905.2864536643027,1.0694852098822592e-05,7.793066367506981e-06,175000000.0,0.000946,12.04
7.0287620164453985e-06,1982.1200370788574,5.894012033939361e-06,8.973308980464936e-06,95100000.0,0.000912,16.35
6.799698386806995e-06,496.2353408336638,1.1889209035784006e-05,8.2461668998003e-06,323000000.0,0.00122,8.74
5.324305057525635e-06,1210.5087889358401,8.839817970991135e-06,7.636584356427194e-06,131999999.99999999,0.000931,13.8
4.494326055049897e-06,1931.554228067398,1.0218723766505717e-05,9.292216062545776e-06,97000000.00000001,0.000881,17.91
8.200968861579895e-06,1004.4965595006942,1.4471225529909133e-05,5.396011859178543e-06,189000000.0,0.00139,11.71
8.783466473221778e-06,1861.9753122329712,5.8290376663208e-06,1.0051566928625106e-05,99800000.0,0.00103,16.23
7.672389283776283e-06,496.18974328041065,7.487072736024856e-06,8.106830198317766e-06,323000000.0,0.00107,6.430000000000001
6.294271230697632e-06,696.3884383440017,1.0711526617407797e-05,8.152175784111023e-06,241000000.0,0.00112,10.48
8.518212631344795e-06,1345.562782138586,1.3396750092506408e-05,7.2953589856624605e-06,135000000.0,0.00142,15.89
5.802603743970394e-06,1126.465979963541,1.1234331652522087e-05,8.26055485010147e-06,146000000.0,0.00107,14.179999999999998
8.149209603667259e-06,1750.4125833511353,7.3164942860603324e-06,6.705469399690628e-06,107000000.00000001,0.00104,15.44
8.12620885670185e-06,592.6996022462844,1.5642659306526183e-05,1.040412986278534e-05,276000000.0,0.0015,12.29
5.277500778436661e-06,777.1272659301757,8.057120382785796e-06,7.92711055278778e-06,202000000.0,0.000897,9.83
6.0482235476374625e-06,1011.4563107490538,1.670023140311241e-05,1.1194973856210708e-05,158000000.0,0.00126,15.93
8.602025091648103e-06,1209.8754942417145,1.489406606554985e-05,6.565250903367997e-06,158000000.0,0.00146,14.02
5.543392181396485e-06,604.2634993791579,1.5977010875940322e-05,1.015165089070797e-05,275000000.0,0.00117,11.139999999999999
6.677348144352436e-06,1499.026097357273,1.000656908750534e-05,7.926816925406457e-06,118000000.0,0.00111,15.89
5.028217613697052e-06,1316.3215406239033,1.2405847795307636e-05,8.40910503640771e-06,126000000.00000001,0.00101,15.69
7.552045539021492e-06,1655.1589369773865,7.568325281143188e-06,7.159599140286446e-06,110000000.0,0.00103,15.28
4.931345611810684e-06,901.5525728464125,1.2354700043797492e-05,8.174311820417643e-06,176000000.0,0.000999,12.71
5.272387817502022e-06,1328.8426510989666,1.095194899663329e-05,7.879244804382324e-06,125000000.00000001,0.001,15.3
7.180739801377058e-06,679.5868575572966,1.4389118015766143e-05,9.492287084460259e-06,239000000.0,0.00136,12.64
5.858026497066021e-06,935.0417181849479,1.4231978118419646e-05,9.434137284755707e-06,175000000.0,0.00117,13.99
4.466902077198029e-06,592.0366942882537,1.0274088747799396e-05,8.703488051891327e-06,273000000.0,0.00089,8.42
5.381713852286339e-06,1848.03207218647,8.42865753173828e-06,7.213652864098549e-06,99999999.99999999,0.000915,16.67
6.951239235699177e-06,604.1053384542464,1.3135991424322127e-05,8.968719109892845e-06,275000000.0,0.00129,10.92
5.922457247972489e-06,1428.427204489708,1.5186063557863235e-05,1.0196306243538856e-05,121000000.0,0.0012,17.6
8.180757209658622e-06,488.5791540145873,1.4601337850093841e-05,4.2645446658134465e-06,333000000.0,0.00141,7.91
5.886823832988739e-06,1571.0060149431229,1.0610026583075522e-05,7.916988804936409e-06,113000000.0,0.00105,16.41
6.2509834282100205e-06,780.9796780347823,1.0873882792890071e-05,8.163388568907976e-06,209000000.0,0.00112,11.58
7.971408918499946e-06,1913.4336709976196,8.819088250398635e-06,4.948017001152039e-06,121000000.0,0.0011,12.9
4.729969918727875e-06,1661.7447882890701,1.0422942772507666e-05,8.152183085680008e-06,105000000.00000001,0.000915,16.8
5.488914906978607e-06,1097.911026328802,5.997456073760985e-06,7.883775845170021e-06,143000000.0,0.000815,11.18
6.506025580689311e-06,1820.6735402345657,8.15793067216873e-06,7.180972710251808e-06,103000000.00000001,0.000995,16.33
8.87775269150734e-06,480.81085085868824,1.6204927325248717e-05,1.0253583610057831e-05,326000000.0,0.00162,11.1
4.592317745089531e-06,998.8917037844657,1.5445146054029465e-05,9.65463601052761e-06,158000000.0,0.00102,14.47
7.811940528452397e-06,479.57873344421375,9.926371812820434e-06,6.1105940937995915e-06,329000000.0,0.00122,7.54
5.8128114938735965e-06,1591.029241681099,1.4171869337558746e-05,9.776442974805833e-06,113000000.0,0.00116,17.97
4.455282211303711e-06,1844.559371471405,1.3316653460264206e-05,9.743637025356293e-06,101000000.00000001,0.0009489999999999999,18.38
8.903441414237023e-06,793.9130216836928,1.6634732842445372e-05,1.0890387445688248e-05,205000000.0,0.00164,15.08
7.096729964017868e-06,1381.5478682518005,1.0930822975933551e-05,8.475379754789173e-06,126000000.00000001,0.0012,15.91
8.499704718589783e-06,893.3718129992484,1.4864705026149749e-05,6.65999647974968e-06,243000000.0,0.00145,11.24
7.723414085805416e-06,1071.1322762072086,8.119496405124664e-06,8.087105166167022e-06,156000000.0,0.0011,12.479999999999999
6.3952523432672025e-06,889.2999738454818,7.265381038188934e-06,8.191618025302887e-06,175000000.0,0.000957,10.8
5.917957372963429e-06,1682.6914548873901,1.2379427678883074e-05,9.410397693514825e-06,109000000.0,0.00112,17.85
6.826670357957483e-06,819.2327618598937,1.5221358895301817e-05,9.995375722646714e-06,203000000.0,0.00134,13.87
7.508951023221016e-06,2008.2481503486633,1.3294721275568008e-05,6.051026433706284e-06,366000000.0,0.00117,1.5300000000000002
7.102773416787386e-06,1395.3921906650066,1.3605660200119018e-05,9.424155309796333e-06,126000000.00000001,0.0013,17.08
7.094712372869254e-06,1146.8841843307018,8.749929189682007e-06,8.032653480768205e-06,145000000.0,0.00109,13.3
6.992673028260469e-06,1800.0022917985916,8.206159055233002e-06,8.518315698951483e-06,103999999.99999999,0.00105,16.73
7.939302340149879e-06,1268.1961311027408,1.0111569315195083e-05,7.0855147093534474e-06,142000000.0,0.00121,13.87
4.906001955270767e-06,602.8405874967574,1.270880777388811e-05,8.264467969536781e-06,273000000.0,0.00101,9.65
7.823508627712726e-06,848.2859134674071,1.3588587701320648e-05,9.408792600035667e-06,203000000.0,0.00139,13.58
5.0936097353696825e-06,902.9021486639975,1.5012665808200836e-05,9.572453305125237e-06,177000000.0,0.00108,13.77
5.610612496733666e-06,685.9958618879317,1.3711078405380248e-05,8.914793867617846e-06,238000000.0,0.00113,11.56
4.787408486008645e-06,590.0078713893889,5.969093918800353e-06,6.709108918905258e-06,275000000.0,0.00077,5.559999999999999
8.235566407442094e-06,968.18058937788,1.3868408441543579e-05,9.557794257998467e-06,178000000.0,0.00144,14.63
4.691770702600479e-06,1291.9141175225377,8.04082417488098e-06,8.076976038515567e-06,125000000.00000001,0.000836,13.49
6.092473961412907e-06,683.5295259952544,1.4858733028173447e-05,9.532319709658624e-06,236000000.0,0.00122,12.35
7.829997427761555e-06,1419.494777917862,1.1565258100628852e-05,8.626786921173335e-06,125000000.00000001,0.00129,16.48
4.709915444254875e-06,1378.0666515231133,1.1874619036912917e-05,8.243960443884135e-06,120000000.0,0.000957,15.85
4.651895508170128e-06,1680.1261454820633,6.557260155677794e-06,8.656308807432652e-06,103000000.00000001,0.000768,14.89
5.120561376214028e-06,1752.6946514844894,1.3677778869867324e-05,9.392302945256233e-06,105999999.99999999,0.00105,18.17
8.824818491935731e-06,1608.4604039788246,1.638213014602661e-05,5.709943860769272e-06,333000000.0,0.00142,3.7399999999999998
7.550028517842293e-06,1031.774915754795,1.5488809466362e-05,1.0578308999538421e-05,160000000.0,0.00143,15.989999999999998
6.221870664507151e-06,1141.8193690478802,9.7709202170372e-06,7.930448412895203e-06,144000000.0,0.00106,13.72
4.485715627670288e-06,999.0265518426894,1.2857164569199084e-05,8.887743275612592e-06,157000000.0,0.0009510000000000001,13.550000000000002
6.2808249481022355e-06,1273.546232841909,1.3170334428548813e-05,9.269300505518914e-06,132999999.99999999,0.00119,16.09
6.204415485262871e-06,1304.376244544983,7.784791111946104e-06,7.814351379871368e-06,124000000.00000001,0.00096,14.01
6.910139763727784e-06,1137.0227634906769,1.5770320147275924e-05,1.0703155606985092e-05,145000000.0,0.00135,16.61
6.341025821864605e-06,1264.3812950700521,1.2621891550719737e-05,9.034512504935265e-06,133999999.99999999,0.00118,15.82
8.951282769441605e-06,470.5649912357329,1.5854447394609452e-05,9.25508987903595e-06,328000000.0,0.00161,10.74
7.0397530049085615e-06,2024.4546830654144,1.521789640188217e-05,1.0799846947193145e-05,456000000.0,0.0012,2.2200000000000006
6.7603099294938145e-06,1384.5310546457767,1.4183066874742507e-05,9.63341921567917e-06,126000000.00000001,0.00128,17.17
4.50164258480072e-06,1217.0053869485855,1.1128779776394367e-05,8.927748207002878e-06,131999999.99999999,0.00091,14.580000000000002
6.911823922768235e-06,1093.2492464780807,6.094680607318877e-06,8.193136855959893e-06,143000000.0,0.000922,11.74
5.352781534194946e-06,594.5727676153182,1.3125536412000656e-05,8.613395921885968e-06,278000000.0,0.00108,9.93
7.927863389253616e-06,1920.1623499393463,1.4742686063051222e-05,1.0790572911500931e-05,493000000.0,0.00126,1.2100000000000002
5.200674667954445e-06,1003.66073846817,1.4673208355903624e-05,9.534982904791833e-06,160000000.0,0.00109,14.51
7.898545235395432e-06,929.1754812002181,1.0347254246473312e-05,7.221744880080223e-06,204000000.0,0.00121,11.049999999999999
5.929955497384072e-06,892.4779891967772,7.341690629720687e-06,8.17063967883587e-06,174000000.0,0.000921,10.73
4.718641877174377e-06,776.5851020812987,8.80761533975601e-06,7.946967065334321e-06,202000000.0,0.000869,10.01
8.150164872407913e-06,1409.8093211650848,1.3491706073284148e-05,4.957760214805604e-06,133999999.99999999,0.00133,13.11
7.460774660110474e-06,1662.1559262275696,9.0895679295063e-06,1.065300989151001e-05,108000000.0,0.00115,17.24
8.073287531733514e-06,1600.1609787344933,8.907944709062576e-06,1.0396593183279038e-05,111000000.0,0.00119,16.94
5.281167358160019e-06,1015.9339010715483,1.1154552519321442e-05,7.954434484243394e-06,156000000.0,0.00101,13.4
4.963140785694122e-06,1200.1385390758514,9.058919519186019e-06,7.699657186865806e-06,132999999.99999999,0.000904,13.67
7.478168450295925e-06,687.6799315214156,1.3718690514564513e-05,9.281178593635558e-06,238000000.0,0.00137,12.52
7.06635495275259e-06,1561.7305785417557,1.0839380014687775e-05,8.592771871015429e-06,115000000.0,0.00119,16.87
7.540184877812862e-06,1345.0446911156178,1.4805720031261443e-05,1.0432879477739334e-05,129000000.00000001,0.00139,17.49
7.884034350514411e-06,1648.8030850887299,9.629221886396408e-06,4.900968194007874e-06,117000000.0,0.00115,14.23
6.353606656193733e-06,1852.9187440872192,6.5501256883144375e-06,7.709479674696922e-06,99200000.0,0.000894,15.89
