C1,C2,Ld,Lg,Ls,WN1,WN2,GTMax,S11Min,NFMin,Bandwidth,PowerConsumption
6.07964962720871e-13,2.0183430910110474e-13,4.003195106983185e-09,1.0368183159828186e-08,6.997420005500317e-10,5.998573482036591e-06,5.601483501493931e-06,15.0,-14.89,1.849,4600000000.0,0.0181
3.1699430644512174e-13,3.9474563002586363e-13,4.995603442192078e-09,9.430916646122933e-09,7.478812754154205e-10,6.002479076385499e-06,5.106367826461793e-06,15.95,-14.21,1.794,3300000000.0,0.018
3.0179387032985684e-13,1.9703004360198975e-13,5.0182939767837534e-09,1.0413047665357589e-08,7.474744021892548e-10,5.747780531644822e-06,6.019232511520386e-06,15.35,-13.79,1.852,3570000000.0000005,0.0176
5.853265553712845e-13,3.0170802474021915e-13,3.911855950951576e-09,8.371679270267487e-09,7.009434141218663e-10,6.007083594799042e-06,5.611586466431618e-06,15.2,-15.77,1.834,4130000000.0000005,0.0181
4.014048233628273e-13,2.8305304646492004e-13,4.014035612344742e-09,9.641402998566628e-09,7.006562948226929e-10,5.744188591837883e-06,5.104302644729615e-06,15.54,-14.75,1.809,3910000000.0,0.0174
4.1380130276083945e-13,2.0021519362926483e-13,3.555425077676773e-09,8.382507526874544e-09,7.012668304145336e-10,6.008538365364075e-06,5.614339038729668e-06,14.889999999999999,-15.249999999999998,1.899,4110000000.0,0.0181
5.954266458749771e-13,2.8913622498512267e-13,3.0249202251434327e-09,9.435517305135727e-09,8.003616929054262e-10,5.249467670917511e-06,5.471759313717485e-06,13.76,-13.24,1.835,4910000000.0,0.0163
6.011957287788391e-13,2.955317690968514e-13,5.051217913627625e-09,8.512440258264543e-09,7.097921505570413e-10,4.99600100517273e-06,5.450125776231289e-06,14.51,-13.62,1.839,4280000000.0,0.0157
5.072279646992684e-13,2.526427149772644e-13,3.0497167110443115e-09,9.255547830462456e-09,7.463807910680772e-10,5.50197248859331e-06,5.5078517347574235e-06,14.34,-14.1,1.841,4670000000.0,0.0169
3.9352631717920304e-13,4.018656075000763e-13,2.943774700164795e-09,1.1440608644485473e-08,8.011003375053408e-10,6.005439400672913e-06,5.095595210790635e-06,15.39,-13.1,1.758,3790000000.0,0.018
3.0207487642765046e-13,3.9573590159416197e-13,4.114254295825959e-09,1.1415971481800078e-08,6.005798101425171e-10,6.004071593284607e-06,5.649565294384957e-06,17.23,-16.63,1.712,3450000000.0000005,0.0181
2.905894339084625e-13,5.004965841770173e-13,2.9212075471878053e-09,8.347105944156647e-09,7.994091868400574e-10,5.765367209911347e-06,5.140570670366288e-06,14.71,-13.84,1.827,3889999999.9999995,0.0174
2.974360406398773e-13,2.477827847003937e-13,4.085937723517418e-09,1.14326709151268e-08,6.0039941072464e-10,5.751507192850113e-06,5.678716540336609e-06,16.64,-16.21,1.76,3750000000.0,0.0175
4.238602213561535e-13,5.06275224685669e-13,3.848312497138977e-09,8.434582525491715e-09,8.006679296493531e-10,5.7478204071521765e-06,5.615247935056687e-06,15.18,-13.86,1.821,3579999999.9999995,0.0175
4.899564430117607e-13,5.094410717487335e-13,3.826901152729988e-09,9.420715489983558e-09,5.997193455696106e-10,5.49106933362782e-06,6.028014779090882e-06,15.98,-16.65,1.738,4430000000.0,0.017
6.008787095546722e-13,2.4477889835834503e-13,2.964864492416382e-09,9.482124933600426e-09,6.99766281247139e-10,5.2472469508647925e-06,4.991071164608002e-06,13.98,-14.41,1.831,5360000000.0,0.0162
