C,R,WLO,RF,PowerConsumption,IFVoltageSwing,ConversionGain,NoiseFigure
5.038273632526398e-13,202.6373714208603,1.2908608615398405e-05,2.0741336643695833e-05,0.00931,0.0033800000000000006,4.13,8.541
1.3874349892139436e-12,492.21141040325165,1.0981835424900054e-05,1.9798183813691138e-05,0.00611,0.0034799999999999996,6.124,8.098
1.4918026924133304e-12,298.0595722794533,1.0373422689735888e-05,2.1678360104560857e-05,0.00793,0.00326,5.486,8.238
1.2559376060962678e-12,398.92836958169937,8.531113415956495e-06,2.152493715286255e-05,0.00687,0.00349,6.027,8.138
1.44560045003891e-12,469.8057293891907,1.3949289023876189e-05,1.7055872976779937e-05,0.0063,0.00328,5.497,8.197
6.978224515914918e-13,302.2982269525528,1.1099648028612135e-05,1.5082804560661316e-05,0.00793,0.0031,4.465,8.417
1.4906209707260134e-12,228.25069725513458,1.033053923398256e-05,2.0130043867975477e-05,0.00893,0.00294,4.427,8.4
1.2157566249370577e-12,448.23704957962036,5.120820701122283e-06,1.5977645516395568e-05,0.0064,0.0031799999999999997,5.21,8.158
1.0085465693846346e-12,202.01754868030548,6.962147057056426e-06,1.7096039056777954e-05,0.00926,0.00281,3.6090000000000004,8.593
5.084299743175507e-13,469.2122459411621,1.0232859514653681e-05,1.9966486054472626e-05,0.00628,0.00386,6.065,8.126
5.186434090137482e-13,299.17302429676056,9.572422727942465e-06,2.1259559094905857e-05,0.00793,0.00367,5.348,8.271
9.636037908494474e-13,254.1532188653946,8.303489983081817e-06,1.8813691288232804e-05,0.00852,0.00311,4.581,8.368
5.929367244243623e-13,443.99064779281616,1.4873926937580106e-05,1.7006056010723115e-05,0.00649,0.00353,5.344,8.253
1.2920792102813722e-12,323.25477078557014,1.4814552962779997e-05,2.0791923552751543e-05,0.007649999999999999,0.00329,5.534,8.264
1.3472252488136293e-12,468.9814507961273,1.1956425756216048e-05,2.3717384636402132e-05,0.00628,0.00361,6.396,8.149
1.4757229983806613e-12,347.27095989510417,8.746879994869231e-06,2.111647821962834e-05,0.007360000000000001,0.0033399999999999997,5.722,8.175
6.051713526248933e-13,396.9222292304039,1.2526797652244567e-05,1.5983191132545472e-05,0.00691,0.0034,5.153,8.274
1.3355444073677065e-12,326.7841935157776,6.44592672586441e-06,2.267536610364914e-05,0.00757,0.0033399999999999997,5.561,8.223
7.998932898044588e-13,349.2588662542403,1.487957417964935e-05,1.5054171085357666e-05,0.00739,0.00312,4.655,8.4
1.2351261377334596e-12,276.78995430469513,6.4593276381492606e-06,2.377307772636414e-05,0.00816,0.00328,5.242,8.319
1.4978487193584444e-12,493.13895404338837,1.2962737083435056e-05,2.0893498286604884e-05,0.00611,0.0034799999999999996,6.133,8.125
4.95014488697052e-13,351.0916121304035,6.109007596969604e-06,1.6022821068763733e-05,0.00731,0.00345,4.859,8.272
7.447796165943147e-13,443.5945391654968,1.4125486910343168e-05,2.4911800324916842e-05,0.00647,0.0038200000000000005,6.263,8.218
6.156775951385499e-13,418.5797393321991,1.4896171391010282e-05,1.893541231751442e-05,0.00669,0.00361,5.587,8.224
8.08576285839081e-13,420.92632353305817,7.973615080118179e-06,1.9013939052820207e-05,0.006660000000000001,0.0035400000000000006,5.805,8.132
8.987123146653177e-13,374.7498869895935,1.1749941706657409e-05,1.7036981880664825e-05,0.00713,0.0033,5.335,8.236
7.992627173662186e-13,228.2562404870987,9.764873515814542e-06,2.1806878298521044e-05,0.00892,0.0032500000000000003,4.592,8.412
1.3315297961235049e-12,348.7465095706284,9.337304681539534e-06,2.382395058870316e-05,0.007370000000000001,0.0034599999999999995,5.962,8.202
1.2547944188117983e-12,276.84675455093384,7.736958563327789e-06,1.9865693897008897e-05,0.0082,0.00315,4.961,8.292
6.857603788375855e-13,227.72755026817322,1.3818407356739043e-05,2.421469241380692e-05,0.00893,0.0034,4.901,8.448
1.0671443268656733e-12,373.52614253759384,1.2712115645408629e-05,1.7991849631071093e-05,0.00714,0.0033,5.464,8.22
9.899087864905596e-13,203.46166789531708,9.981259035412221e-06,2.3858702778816225e-05,0.00929,0.00312,4.373,8.495
5.902405083179475e-13,277.9959559440613,5.1992899179458615e-06,1.5953956842422486e-05,0.00812,0.0031999999999999997,4.253,8.409
4.937770366668701e-13,446.74971997737885,7.963077425956725e-06,2.2416631728410723e-05,0.00644,0.00397,6.18,8.143
7.528620064258576e-13,299.2978945374489,9.973505332600323e-06,2.3628170192241673e-05,0.00793,0.0035700000000000003,5.581,8.273
9.001791030168534e-13,325.1322902739048,1.471952140331268e-05,1.498428225517273e-05,0.00766,0.00303,4.552,8.425
1.4031906723976136e-12,446.0796505212784,8.080345839262007e-06,1.5072369277477265e-05,0.00646,0.00312,5.218,8.209
9.279093816876412e-13,374.190516769886,1.0160056371241806e-05,1.606316536664963e-05,0.00713,0.0032200000000000006,5.168,8.253
4.955002069473268e-13,469.7712451219559,7.994045466184615e-06,1.7947807759046557e-05,0.00627,0.00375,5.801,8.13
8.931812047958375e-13,396.87402099370956,9.774627294391392e-06,2.0044333492405715e-05,0.006889999999999999,0.00353,5.888,8.153
1.1942842006683351e-12,493.82530450820923,7.907321602106093e-06,1.7909245640039445e-05,0.0061,0.0034100000000000003,5.891,8.095
9.636593945324422e-13,443.85972023010254,8.854849264025687e-06,1.8966411501169204e-05,0.00647,0.0035000000000000005,5.925,8.119
1.276003032922745e-12,421.290585398674,8.968537598848342e-06,2.000141108874232e-05,0.006670000000000001,0.00344,5.972,8.122
9.852362498641015e-13,250.67808628082275,1.4183667898178098e-05,2.480226963758469e-05,0.00858,0.00333,5.318,8.391
1.32632052898407e-12,469.7287052869797,1.3085224926471709e-05,1.9035777747631075e-05,0.00629,0.00342,5.854,8.144
1.4336703717708589e-12,326.15181133151054,1.0034776995889842e-05,1.602952241897583e-05,0.007639999999999999,0.00301,4.872,8.299
1.0261219423264266e-12,421.2611794471741,1.1323502510786054e-05,1.6169883608818056e-05,0.00668,0.00326,5.353,8.216
9.052452072501184e-13,323.0741284787655,1.081575959920883e-05,1.9125131145119667e-05,0.007649999999999999,0.0033399999999999997,5.377,8.238
9.724143613129855e-13,227.02760100364685,8.959645777940749e-06,2.045675549656153e-05,0.00893,0.0031,4.437,8.418
8.144199252128602e-13,420.38212567567825,1.4910224974155424e-05,2.2880273759365086e-05,0.00668,0.00369,6.027,8.216
7.787281274795533e-13,420.9114909172058,1.2555518746376036e-05,1.7945052832365038e-05,0.00669,0.00347,5.591,8.19
1.485780417919159e-12,225.92308521270752,8.653180599212646e-06,1.734593063592911e-05,0.00893,0.0028,4.015,8.475
1.2004527747631075e-12,401.59350633621216,1.1773450821638105e-05,2.195829257369042e-05,0.00685,0.0035200000000000006,6.1,8.161
1.0829854458570481e-12,274.66041445732117,1.4812071621417998e-05,1.9952187105081975e-05,0.00826,0.00317,5.111,8.342
1.0008667574147696e-12,467.0488566160202,1.1964857429265974e-05,2.0955287814140324e-05,0.00629,0.0036,6.137,8.126
1.0909879580140115e-12,277.19987630844116,1.1113601103425024e-05,1.6059841215610506e-05,0.00824,0.00295,4.452,8.393
5.034757554531098e-13,253.6563664674759,7.132013738155364e-06,1.5182629525661468e-05,0.00852,0.00317,3.8760000000000003,8.531
6.008700728416443e-13,197.74392247200012,8.116004019975662e-06,1.645346760749817e-05,0.0093,0.00295,3.367,8.659
1.1986122280359269e-12,444.5801615715027,1.1426645666360853e-05,1.598130077123642e-05,0.00649,0.0032300000000000002,5.375,8.205
1.2927288711071017e-12,349.1083870641887,1.2012407928705214e-05,2.0895048379898075e-05,0.00738,0.00337,5.784,8.2
1.41977795958519e-12,201.66873633861542,9.175390377640723e-06,2.0401631928980352e-05,0.00931,0.00286,4.037,8.493
8.083998560905458e-13,421.5930178761482,5.122092366218566e-06,1.6952887177467347e-05,0.0066,0.0033600000000000006,5.288,8.157
4.993227720260621e-13,372.6009503006935,1.4752952456474302e-05,1.7892849296331407e-05,0.00714,0.00358,5.274,8.278
1.1803277581930162e-12,306.96878880262375,8.089173436164854e-06,1.840910091996193e-05,0.00782,0.00317,5.042,8.259
7.996277362108232e-13,227.94311940670013,6.945100724697112e-06,1.823598384857178e-05,0.00889,0.00307,4.13,8.47
1.228045389056206e-12,275.54464042186737,1.1039891913533209e-05,2.4468925893306737e-05,0.00824,0.00333,5.478,8.308
7.027917504310608e-13,299.1193488240242,8.417699187994002e-06,2.3689468502998356e-05,0.00793,0.0036,5.517,8.283
9.549139663577081e-13,326.408239454031,8.270730525255203e-06,2.1442177891731265e-05,0.007599999999999999,0.00344,5.548,8.215
1.2762920558452609e-12,301.39966011047363,8.890288397669791e-06,2.159307420253754e-05,0.00791,0.0033,5.409,8.243
8.829689323902132e-13,250.6291538476944,1.420442372560501e-05,2.477123707532883e-05,0.00858,0.00337,5.312,8.395
1.4832348227500916e-12,469.7898864746094,1.4894327521324155e-05,1.8989964127540588e-05,0.00629,0.00337,5.749,8.183
1.0624896474182607e-12,375.30929297208786,8.437519073486328e-06,2.1612742841243747e-05,0.0070999999999999995,0.00351,5.905,8.16
8.022953271865846e-13,226.5580177307129,6.728394031524657e-06,1.726167291402817e-05,0.00889,0.003,3.9720000000000004,8.502
1.1372958719730378e-12,420.4423815011978,1.1562643647193907e-05,1.603736251592636e-05,0.00669,0.0032200000000000006,5.318,8.222
5.044617950916291e-13,276.52369141578674,8.974678963422774e-06,1.801892504096031e-05,0.00823,0.0034599999999999995,4.713,8.348
1.0445578135550023e-12,425.4760831594467,1.016773398965597e-05,2.135519251227379e-05,0.00664,0.0035700000000000003,6.133,8.135
9.135775417089464e-13,253.56565415859222,1.4001553654670713e-05,1.6040433943271638e-05,0.00859,0.00291,4.226,8.491
6.171913444995881e-13,374.3635594844818,7.425284683704375e-06,2.486602455377579e-05,0.00708,0.00385,6.002,8.219
8.148764520883561e-13,421.7263862490654,6.078341901302337e-06,1.9013533592224122e-05,0.0066300000000000005,0.0035200000000000006,5.675,8.123
1.4838978052139283e-12,422.02689200639725,9.399135932326316e-06,2.078188113868237e-05,0.006670000000000001,0.00344,6.077,8.121
9.754097964614632e-13,425.33334493637085,7.516581416130065e-06,2.042078357189894e-05,0.00664,0.00355,5.973,8.118
5.047580897808075e-13,469.0870225429535,1.4950983822345731e-05,2.381944447755814e-05,0.00628,0.00398,6.166,8.22
1.3563458621501925e-12,203.5508781671524,5.982704460620879e-06,2.2160215526819232e-05,0.00921,0.00294,4.247,8.504
1.340417355298996e-12,252.05259323120117,1.5086631178855895e-05,1.8061444610357285e-05,0.00859,0.0029,4.604,8.419
9.132716432213784e-13,325.04847794771194,1.4669481515884397e-05,1.6980101466178894e-05,0.00766,0.00317,4.956,8.336
7.850337624549867e-13,252.4312674999237,6.168334484100341e-06,2.1793973296880726e-05,0.00849,0.00333,4.847,8.366
1.3860104382038119e-12,396.5485528111458,1.3972949981689451e-05,2.4919573664665226e-05,0.006889999999999999,0.00355,6.194,8.225
7.113245129585267e-13,423.5130101442337,7.183956801891326e-06,2.0693497881293298e-05,0.00664,0.00369,5.96,8.127
4.925862550735474e-13,443.8782900571823,1.1066878363490104e-05,1.584658682346344e-05,0.00649,0.00355,5.322,8.227
9.299210831522942e-13,445.54814398288727,1.284381955862045e-05,1.7984426766633987e-05,0.00648,0.00344,5.655,8.174
9.845456769689918e-13,376.6561709344387,5.618879795074462e-06,1.8480178862810135e-05,0.007029999999999999,0.0033399999999999997,5.367,8.166
5.058052837848664e-13,349.85652891919017,5.908037424087523e-06,2.401182055473328e-05,0.00731,0.00389,5.725,8.234
1.1164410561323166e-12,227.0354688167572,5.517261028289794e-06,1.734717845916748e-05,0.00884,0.00287,3.976,8.498
7.265038788318635e-13,348.12007015571,1.189749464392662e-05,1.9125729873776435e-05,0.00738,0.00347,5.517,8.229
1.2991572916507723e-12,202.02559530735016,9.612649716436861e-06,2.501382410526276e-05,0.0093,0.00304,4.455,8.495
9.14027214050293e-13,397.12763726711273,5.069721341133117e-06,1.7970351129770278e-05,0.00681,0.00335,5.345,8.156
1.0048944843001664e-12,374.1812966763973,9.59457904100418e-06,2.364052474498749e-05,0.007109999999999999,0.00359,6.094,8.189
1.4567838013172152e-12,494.5391118526459,8.890622407197951e-06,2.153394922614098e-05,0.00606,0.0035200000000000006,6.27,8.092
1.012111581861973e-12,205.11813759803772,5.580731034278869e-06,1.978406047448516e-05,0.00915,0.00294,3.991,8.542
6.478281915187836e-13,469.68587934970856,1.0387791581451892e-05,1.7168002128601073e-05,0.00629,0.00355,5.66,8.158
1.4237293303012849e-12,324.10434260964394,1.3879467844963071e-05,1.705462396144867e-05,0.00766,0.00306,5.042,8.305
1.0965009257197382e-12,448.0944365262985,5.1222074031829825e-06,1.5963895618915558e-05,0.0064,0.00321,5.209,8.16
1.268399626016617e-12,201.88288390636444,1.4940249025821683e-05,2.4903499186038976e-05,0.00931,0.00303,4.573,8.506
6.0958331823349e-13,350.68625546991825,1.0484234578907488e-05,2.4767961800098422e-05,0.007360000000000001,0.00381,6.027,8.246
5.102902352809906e-13,492.8030252456665,1.4880737364292143e-05,1.6883387565612792e-05,0.00612,0.0036399999999999996,5.432,8.238
9.072962179780008e-13,253.20659577846527,8.555199354887008e-06,2.4842770099639897e-05,0.00855,0.0033800000000000006,5.128,8.372
6.160283982753754e-13,227.78423428535461,7.860283106565474e-06,1.8165487498044967e-05,0.00891,0.00321,4.106,8.477
1.4666309952735903e-12,376.80869922041893,5.4635199904441826e-06,1.846568763256073e-05,0.007029999999999999,0.0032200000000000006,5.371,8.159
1.1629084646701815e-12,260.2924019098282,1.1307692378759383e-05,1.8544577211141586e-05,0.00844,0.00304,4.71,8.364
7.907533049583436e-13,352.5029653683305,5.60941994190216e-06,1.8431022316217423e-05,0.007270000000000001,0.0033900000000000002,5.236,8.199
6.018227338790894e-13,397.6893365383148,8.225203603506088e-06,1.5131012797355652e-05,0.00688,0.00335,5.016,8.269
1.0907453671097757e-12,442.2066658735275,8.60657975077629e-06,2.4675590693950655e-05,0.00647,0.0036800000000000005,6.379,8.157
1.0588446818292143e-12,373.8933525979519,1.0052990093827247e-05,1.5079416930675506e-05,0.00713,0.0031,4.963,8.294
9.821497648954392e-13,445.0945645570755,8.905891627073286e-06,1.4985506534576415e-05,0.00647,0.00321,5.238,8.225
1.499643623828888e-12,467.51710772514343,8.07271122932434e-06,1.792850285768509e-05,0.00627,0.00333,5.831,8.102
1.4551354050636293e-12,490.87012708187103,8.013781905174253e-06,2.0156038738787177e-05,0.0061,0.00347,6.146,8.078
7.104002237319947e-13,420.9120184183121,1.1971051692962645e-05,1.9914542492479086e-05,0.00668,0.0036399999999999996,5.905,8.16
1.39167657494545e-12,323.7619251012802,1.4898962080478666e-05,2.179189562797547e-05,0.007649999999999999,0.00331,5.638,8.263
9.945209566503765e-13,398.51853251457214,1.0132334763184188e-05,1.5042173862457276e-05,0.006889999999999999,0.00315,5.073,8.273
9.28742364048958e-13,400.29560774564743,7.101148664951323e-06,1.9794409889727832e-05,0.00686,0.0035000000000000005,5.772,8.136
1.0375841446220875e-12,443.7209337949753,1.3907601833343504e-05,2.0016840118914844e-05,0.00648,0.00351,5.869,8.17
1.2670611143112185e-12,421.16578221321106,1.0832138434052466e-05,1.9032804593443873e-05,0.00668,0.0033900000000000002,5.85,8.142
1.2836571335792543e-12,471.7053681612015,8.380175828933715e-06,2.0271087512373927e-05,0.00624,0.0035000000000000005,6.132,8.092
9.234311133623124e-13,227.43283808231354,1.014919484965503e-05,1.9090452268719673e-05,0.00893,0.00305,4.283,8.431
1.0976017341017725e-12,276.54573023319244,1.2726624906063078e-05,2.4126569926738743e-05,0.00825,0.00335,5.508,8.322
4.94784712791443e-13,493.20638477802277,1.339730143547058e-05,2.491769224405289e-05,0.0061,0.00407,6.37,8.193
4.9919992685318e-13,202.53010094165802,9.612248986959457e-06,1.825467824935913e-05,0.00929,0.0032500000000000003,3.678,8.579
4.834893345832825e-13,494.342640042305,4.794166684150695e-06,2.394952088594437e-05,0.00603,0.004,6.17,8.142
8.083813190460206e-13,203.1025916337967,6.725574731826782e-06,2.289858549833298e-05,0.00924,0.0031999999999999997,4.314,8.509
7.035650312900544e-13,445.73590755462646,1.118917293846607e-05,2.4924404025077822e-05,0.00646,0.00387,6.413,8.184
7.973340898752214e-13,372.61751741170883,1.400811344385147e-05,2.4903994202613833e-05,0.007119999999999999,0.0037,6.086,8.254
1.5252649784088137e-12,225.30908286571503,1.1535607278347013e-05,2.1702753603458408e-05,0.00893,0.003,4.638,8.391
6.121041178703309e-13,298.80648255348206,7.5653471052646625e-06,1.917457163333893e-05,0.00791,0.0034799999999999996,5.069,8.273
1.097102425992489e-12,348.30716708675027,1.4957021772861479e-05,2.482505410909653e-05,0.007370000000000001,0.00353,5.959,8.276
1.4410867393016818e-12,301.1757716536522,5.207369029521941e-06,1.5016967654228211e-05,0.00782,0.00285,4.279,8.381
5.815045535564423e-13,479.24655079841614,1.387602001428604e-05,2.2305614799261096e-05,0.0062,0.00388,6.137,8.175
1.4635824561119082e-12,202.15183794498444,7.308049798011779e-06,1.6166882812976836e-05,0.00926,0.00262,3.44,8.629
5.978977382183075e-13,227.34479010105133,8.951990380883216e-06,1.6948729455471037e-05,0.00891,0.00314,3.9479999999999995,8.511
9.137922152876855e-13,469.1845655441284,1.3821081221103667e-05,1.7938985377550125e-05,0.0063,0.0034599999999999995,5.643,8.183
6.121625304222108e-13,372.36033603549004,1.4827659726142882e-05,1.5021716952323914e-05,0.00714,0.00326,4.727,8.385
6.01767122745514e-13,201.2178212404251,6.642849445343017e-06,1.7223880887031556e-05,0.00924,0.00306,3.598,8.614
1.311784565448761e-12,493.72400641441345,7.759553343057631e-06,2.1102260872721675e-05,0.00609,0.0035400000000000006,6.248,8.081
6.898767054080964e-13,494.63880956172943,1.2864975333213805e-05,1.4951678514480591e-05,0.00613,0.00335,5.169,8.254
1.0276742056012156e-12,323.56867864727974,7.490986883640288e-06,2.027624847367406e-05,0.00762,0.0033600000000000006,5.405,8.212
7.226362228393556e-13,469.57421004772186,1.020483249798417e-05,2.4978501200675967e-05,0.00627,0.00388,6.484,8.168
