C,R,WLO,RF,PowerConsumption,IFVoltageSwing,ConversionGain,NoiseFigure
9.932718910276892e-13,355.7979591190815,1.1693947315216063e-05,1.981362817808986e-05,0.007270000000000001,0.0033900000000000002,5.596,8.209
9.014114439487458e-13,348.5365937463939,1.1201628744602201e-05,2.4801457524299624e-05,0.007370000000000001,0.0036199999999999995,6.081,8.24
8.172525763511659e-13,374.04196932911873,9.859891701489686e-06,2.4030006229877476e-05,0.007109999999999999,0.0036800000000000005,6.121,8.2
6.753698885440827e-13,325.5147710442543,8.531376123428344e-06,2.1687309592962267e-05,0.00762,0.0036,5.581,8.224
9.093698784708978e-13,349.10176396369934,1.4165268540382382e-05,1.7091313898563385e-05,0.00739,0.00324,5.134,8.29
7.201501429080964e-13,502.05634236335754,9.163680523633956e-06,2.1530975401401523e-05,0.0061,0.0037599999999999995,6.236,8.107
4.973520040512086e-13,397.907230257988,9.359805285930632e-06,1.79666069149971e-05,0.006889999999999999,0.00367,5.581,8.186
1.0427699051797391e-12,398.86650890111923,8.934198319911955e-06,2.1994415223598482e-05,0.00686,0.00355,6.035,8.15
1.1226588860154153e-12,276.10828429460526,1.4031070768833158e-05,2.4853360354900363e-05,0.00825,0.0033600000000000006,5.589,8.345
1.4383019506931307e-12,425.7818102836609,7.502340078353881e-06,2.067686423659325e-05,0.00664,0.00343,5.977,8.11
1.455657184123993e-12,451.2724071741104,5.717163383960723e-06,1.5972023606300355e-05,0.00643,0.0031599999999999996,5.309,8.152
1.4116258919239047e-12,476.0831981897354,5.026962757110595e-06,1.4918156266212464e-05,0.00622,0.00309,5.092,8.177
1.3860639929771424e-12,450.1006484031677,8.413174897432326e-06,2.1891120672225956e-05,0.00646,0.0035200000000000006,6.208,8.11
1.471804887056351e-12,398.51832687854767,9.921323861926792e-06,2.106222361326218e-05,0.006889999999999999,0.00342,6.006,8.141
9.867843789979817e-13,224.40208494663239,1.1210822016000747e-05,2.2849385738372807e-05,0.00893,0.0031799999999999997,4.708,8.406
1.3918425142765048e-12,303.2025381922722,1.2369629740715025e-05,1.4984225630760192e-05,0.00794,0.00289,4.504,8.404
1.2764424085617066e-12,474.3698388338089,1.1031143888831138e-05,2.4936917126178746e-05,0.00628,0.0036600000000000005,6.494,8.159
6.887447834014894e-13,422.9691743850708,1.193588688969612e-05,2.513858318328858e-05,0.006670000000000001,0.00383,6.32,8.204
1.403345286846161e-12,448.42239022254944,1.4409579932689665e-05,1.8128812611103058e-05,0.00649,0.00333,5.612,8.185
1.4590282738208772e-12,275.4854306578636,8.49469467997551e-06,1.49537193775177e-05,0.00822,0.00281,4.204,8.434
1.2319909036159518e-12,475.4610866308212,7.740761041641235e-06,1.811010405421257e-05,0.00627,0.0033900000000000002,5.832,8.106
1.0225991308689119e-12,476.79036259651184,1.0386221222579477e-05,2.4894122481346133e-05,0.00627,0.00373,6.505,8.159
