L1p,L1s,L3p,L3s,Lm,Wn1,Wn2,S11,S22,LargeSignalPowerGain,PAE,DrainEfficiency,PSAT,PowerConsumption
3.5182416792958977e-10,3.703841686248779e-11,2.394146335422993e-10,3.1155731678009035e-11,1.884050028771162e-10,1.5944398164749145e-05,3.6268485546112064e-05,-4.543000000000001,-1.4809999999999992,2.5700000000000003,0.20699999999999974,1.5760000000000005,-5.994,0.0135
5.255212903022766e-10,1.213160037994385e-10,4.703474580422044e-10,5.9700414435938e-11,2.636128037571907e-10,1.628900194168091e-05,2.8096471309661864e-05,-0.4479999999999989,-11.889999999999999,17.55,10.639999999999999,12.69,2.2409999999999997,0.0117
5.254618555307389e-10,4.307389020919799e-11,4.771182027291506e-10,9.093888759613037e-11,9.334780815243719e-11,1.895465135574341e-05,3.627114295959473e-05,-0.5060000000000008,-7.591999999999999,9.391,6.694,10.66,2.288,0.0145
5.262715995311738e-10,1.2000696182250979e-10,2.3676867383718495e-10,2.974873065948486e-11,8.977981784939764e-11,2.1546591967344284e-05,3.29083343744278e-05,-0.7620000000000009,-0.9819999999999998,7.111,0.7149999999999997,1.6770000000000003,-5.118,0.0146
5.270660310983658e-10,8.224284395575525e-11,2.3623048710823064e-10,9.105247020721436e-11,8.699371668696403e-11,2.2043211974203587e-05,3.997441816329957e-05,-0.6920000000000003,-7.546999999999999,9.121,3.6469999999999994,6.04,0.4259999999999998,0.0164
5.239692687988281e-10,4.124779224395752e-11,4.809620487848297e-10,9.128082990646363e-11,2.674056240618229e-10,2.5094748139381406e-05,2.380393600463867e-05,-0.778,-6.642,18.41,11.9,14.69,3.4020000000000006,0.0137
1.7526756078004837e-10,1.209450435638428e-10,2.39445833593607e-10,9.017400741577148e-11,1.7909392792824655e-10,2.5113690257072445e-05,3.1840060502290725e-05,-0.5100000000000012,-3.9520000000000004,12.590000000000002,4.001,5.928,0.10299999999999987,0.0156
3.537649868987501e-10,1.2074403762817384e-10,4.727783732693642e-10,5.987821446731687e-11,2.636324487924576e-10,1.8925249338150024e-05,3.5948157787323004e-05,-11.91,-15.81,12.67,7.959,11.69,2.778,0.0145
5.229352101683617e-10,1.227020311355591e-10,2.377799009084702e-10,6.015288499183953e-11,1.8421548074111341e-10,2.809256625175476e-05,3.2000783354043963e-05,-1.2140000000000002,-2.4090000000000007,10.48,2.115,3.887,-1.361,0.0165
5.26259770989418e-10,1.2178280830383301e-10,4.731081158034504e-10,5.879785012453794e-11,9.155841009318827e-11,1.5770637512207033e-05,2.7671431064605712e-05,-0.49300000000000016,-8.438,16.47,11.03,13.2,2.743,0.0117
1.7719676047563553e-10,8.570472717285157e-11,2.4087426933646204e-10,8.987098753452302e-11,2.649801630675793e-10,2.1981400489807128e-05,4.017904281616211e-05,-0.2750000000000001,-7.4350000000000005,8.989,3.0399999999999996,5.076999999999999,-0.883,0.0164
1.7632874995470048e-10,8.353185206651689e-11,7.129280162155629e-10,5.961254806257784e-11,2.6841321143507956e-10,2.491592866182327e-05,3.202898737788201e-05,-0.3479999999999991,-6.259999999999999,13.34,9.25,11.74,2.582,0.0155
1.7719540446996688e-10,8.175520047545435e-11,7.072501589655877e-10,6.073325950652362e-11,1.8195385651662946e-10,2.2215732641518118e-05,3.2330600649118426e-05,-0.26099999999999995,-5.072,12.939999999999998,9.147,11.56,2.458,0.0146
3.473500229883939e-10,1.2134794712066653e-10,4.761709793815389e-10,2.947556734085083e-11,9.014411923289298e-11,2.4913273632526397e-05,3.614937829971314e-05,-10.92,-8.762,12.240000000000002,6.282,8.434,1.9419999999999997,0.0165
5.236337304115295e-10,3.925379276275635e-11,4.728818181082607e-10,3.0277588963508606e-11,2.6677833235263824e-10,2.803523778915405e-05,2.8054439067840577e-05,-0.8779999999999998,-3.472000000000001,13.13,3.930000000000001,6.453,0.318,0.0156
1.7605313658714296e-10,1.209263324737549e-10,2.372113918066025e-10,9.002528071403504e-11,2.619108512103558e-10,1.607768964767456e-05,2.4295989513397216e-05,-0.21600000000000114,-1.9439999999999995,14.59,3.389,4.656000000000001,-2.536,0.0108
