L1p,L1s,L3p,L3s,Lm,Wn1,Wn2,S11,S22,LargeSignalPowerGain,PAE,DrainEfficiency,PSAT,PowerConsumption
5.123356059193611e-10,1.250390958786011e-10,7.271002431511879e-10,7.495407968759538e-11,1.549348381124437e-10,2.4998633503913878e-05,4.0147787094116216e-05,-0.9499999999999993,-3.469,7.972999999999999,2.9529999999999994,5.738,0.3119999999999999,0.0174
2.3967888355255127e-10,6.28107488155365e-11,2.243733068108559e-10,6.015496551990509e-11,2.0053139777481556e-10,1.8909603476524352e-05,3.6231884956359867e-05,-0.49700000000000055,-3.585000000000001,7.839000000000001,1.8649999999999998,3.6430000000000002,-2.569,0.0145
3.5129311406053603e-10,7.447777271270752e-11,7.298418273329736e-10,2.839207649230957e-11,2.095146184116602e-10,2.1629770889878275e-05,3.609934902191163e-05,-27.61,-2.8609999999999998,9.013,3.6000000000000005,5.889,0.22200000000000014,0.0155
5.179655641317368e-10,3.790823936462402e-11,7.177110378742218e-10,6.786733567714692e-11,8.032528373599051e-11,1.8817922711372376e-05,3.617810153961182e-05,-0.5049999999999989,-3.2969999999999997,7.127,3.595,7.123999999999999,0.6110000000000001,0.0145
4.2676537930965425e-10,1.0052077531814577e-10,2.317224760651589e-10,2.863249182701111e-11,2.6218873222172263e-10,2.253607000410557e-05,2.6849175453186034e-05,-0.4559999999999997,-0.8270000000000007,8.756,0.588,1.255,-7.158,0.0136
1.8985631465911867e-10,9.765889644622805e-11,4.820124626038597e-10,6.951994836330414e-11,1.6442458723299204e-10,1.5668858766555785e-05,3.535953998565674e-05,-0.21300000000000024,-11.53,10.77,7.043,9.735,1.468,0.0136
5.06869912147522e-10,1.2204753875732425e-10,7.145330493450165e-10,8.150288164615632e-11,8.804683911800383e-11,2.5253749489784238e-05,3.577557587623597e-05,-0.9319999999999988,-3.6030000000000006,10.29,5.662,8.437,1.9979999999999996,0.0165
3.5243949852883816e-10,8.670207917690278e-11,7.240181480646133e-10,8.350906491279602e-11,2.4009992988407614e-10,2.7763842225074765e-05,3.63536171913147e-05,-12.46,-4.787,9.932,5.498,8.61,2.057,0.0174
3.90855298191309e-10,5.024329662322998e-11,7.130867486000062e-10,9.007839560508728e-11,1.571109285019338e-10,2.1977981086820365e-05,2.3466781616210938e-05,-0.6050000000000011,-5.592,18.44,16.48,18.98,4.311,0.0127
3.490592599846423e-10,1.2468863010406496e-10,4.684835619870574e-10,2.825116753578186e-11,1.7812142643891274e-10,1.5830970764160158e-05,2.7855018615722655e-05,-14.25,-4.266,14.25,4.894,6.569,0.009000000000000017,0.0117
4.3464730829000473e-10,1.1822019577026368e-10,7.150974531769753e-10,8.904051303863526e-11,8.536238375306128e-11,1.5963974714279175e-05,2.7529644012451173e-05,-0.48999999999999927,-3.7969999999999997,14.83,12.43,14.86,3.164,0.0117
3.4361413903534414e-10,4.133512496948242e-11,4.985004718527199e-10,8.896979570388794e-11,8.094362115859983e-11,2.8117517948150632e-05,3.266693592071533e-05,-8.064,-8.498,13.04,10.88,14.62,4.384,0.0166
3.435096848756075e-10,9.376023769378663e-11,2.1791905808448794e-10,2.8329859972000124e-11,2.3747599440813065e-10,2.8015580415725707e-05,2.812001919746399e-05,-12.290000000000001,-0.7720000000000001,6.562,0.4409999999999995,1.2710000000000004,-6.36,0.0156
1.7156141996383666e-10,3.186112403869629e-11,2.366896261572838e-10,6.136304184794427e-11,2.0920940642803908e-10,2.8310642719268796e-05,2.749504280090332e-05,-0.202000000000001,-1.6560000000000001,9.591,1.61,3.0469999999999997,-2.785,0.0156
5.578960925340653e-10,1.165184497833252e-10,2.317439933419228e-10,5.858248215168714e-11,8.501545745134352e-11,1.6097180366516114e-05,2.7948296546936035e-05,-0.48999999999999927,-1.421000000000001,10.27,2.112,3.358,-3.062,0.0117
1.653784304857254e-10,8.669882118701936e-11,7.217238967418672e-10,7.606684148311615e-11,1.0869055977463722e-10,1.5600404500961304e-05,4.0569768905639657e-05,-0.1550000000000008,-3.1719999999999997,4.348,0.9069999999999999,2.7219999999999995,-3.744,0.0145
3.4997184788808227e-10,3.684968471527099e-11,2.362062235474587e-10,5.846458811312915e-11,1.883561688028276e-10,2.53830691576004e-05,2.7275299072265626e-05,-8.302999999999999,-1.7129999999999994,10.34,1.8389999999999997,3.3759999999999994,-2.271,0.0146
2.920111007988453e-10,1.0867402076721194e-10,4.740913996119053e-10,7.973959743976593e-11,2.696976180672646e-10,2.1730016484856605e-05,4.022462177276612e-05,-0.44100000000000006,-11.21,10.26,4.953,7.872,1.038,0.0164
5.029812738299369e-10,1.114426136016846e-10,2.338399742841721e-10,5.912698455154896e-11,8.884188771247863e-11,2.8069095849990842e-05,2.7780493259429932e-05,-1.1969999999999992,-1.5349999999999995,10.92,2.0730000000000004,3.582,-1.773,0.0156
3.438638826832175e-10,8.797307610511781e-11,3.48993517190218e-10,5.650615967810154e-11,2.5868167500197887e-10,1.8544235110282897e-05,2.4527873039245604e-05,-17.7,-2.1450000000000005,14.19,3.0330000000000004,3.2819999999999996,-3.883,0.0117
3.662583123892546e-10,8.593881249427796e-11,4.747614840622992e-10,8.945534706115723e-11,1.6660916641168296e-10,2.8390893697738644e-05,3.600750017166138e-05,-0.36000000000000026,-10.0,11.560000000000002,8.632,11.84,3.0950000000000006,0.0175
1.6467330753803253e-10,3.7567205429077145e-11,2.4676320824027066e-10,8.939074873924256e-11,1.431992347985506e-10,1.5879714012145996e-05,2.417015552520752e-05,-0.11200000000000095,-1.6380000000000006,9.951,2.951,4.629,-2.504,0.0108
1.6957007348537446e-10,3.449526786804199e-11,2.2882738310098652e-10,2.915799736976624e-11,2.1225481577962637e-10,2.797562444210052e-05,2.830690312385559e-05,-0.202000000000001,-0.7439999999999997,5.688,0.39399999999999974,1.265,-6.555,0.0156
3.478486702777445e-10,3.8570237159729e-11,4.691519618611783e-10,7.405743151903153e-11,1.6042784965783358e-10,1.8742829799652098e-05,4.062776851654053e-05,-5.689000000000002,-8.545,7.218,3.367,8.156,1.478,0.0154
2.812757916748524e-10,1.1486472129821779e-10,2.211550866365433e-10,5.862573869526387e-11,2.621030179411173e-10,1.902410089969635e-05,4.0055601119995125e-05,-0.5699999999999996,-4.580000000000001,8.584,1.9050000000000002,3.634999999999999,-2.365,0.0154
4.3993216305971147e-10,9.400615692138674e-11,7.213578199148179e-10,9.244805216789246e-11,1.774525823877193e-10,2.8125985145568847e-05,2.7917768478393554e-05,-0.553000000000001,-5.7250000000000005,15.87,12.82,15.78,4.106,0.0156
1.850370392203331e-10,3.800572395324707e-11,7.20347697019577e-10,3.0022060275077824e-11,1.5804616503044962e-10,1.583692240715027e-05,2.7566547870635988e-05,-0.11099999999999902,-6.826,12.76,8.171,10.28,0.7450000000000001,0.0117
4.2481086403131487e-10,8.516463518142701e-11,4.835582723487169e-10,9.256326913833618e-11,2.724753821194172e-10,2.8048449277877806e-05,2.3771005630493162e-05,-1.1800000000000006,-6.247000000000001,18.12,11.619999999999997,14.61,3.614,0.0147
3.8640696331858634e-10,1.2224815368652347e-10,4.65989972382784e-10,9.202064394950867e-11,8.276696914434431e-11,2.4935314774513242e-05,3.667719268798829e-05,-0.9319999999999988,-8.043,12.33,9.026,11.950000000000001,3.383,0.0165
4.801870688796044e-10,1.1795002698898318e-10,7.243623395562172e-10,2.897688388824463e-11,2.056496564745903e-10,1.8882635116577148e-05,2.7682719230651856e-05,-0.5770000000000008,-6.942000000000001,17.52,9.613,11.220000000000002,1.6199999999999997,0.0127
4.804772228002548e-10,1.2602756023406985e-10,7.151652609109879e-10,3.084359407424927e-11,1.388337115049362e-10,2.7596532106399535e-05,2.7818448543548583e-05,-1.1589999999999991,-8.245,16.95,8.368,10.3,2.038,0.0156
4.870523795485497e-10,1.143090343475342e-10,4.723340530060232e-10,3.1156225204467775e-11,1.0142502444982528e-10,2.7857936978340145e-05,2.751991605758667e-05,-0.518999999999999,-3.561,14.53,5.14,7.376,1.2489999999999997,0.0156
3.497569757513702e-10,9.67025649547577e-11,4.733549394058064e-10,5.895878747105599e-11,2.570076784491539e-10,1.8633045554161073e-05,2.800454354286194e-05,-0.5580000000000009,-11.66,17.44,10.78,13.15,2.661,0.0127
3.5270008305087684e-10,3.92973518371582e-11,2.3128032433986668e-10,6.010003209114075e-11,2.5942858907580374e-10,2.2041484352201224e-05,2.761089038848877e-05,-7.779999999999999,-1.873,10.69,1.7690000000000001,3.1109999999999993,-2.973,0.0136
5.252759158611297e-10,8.996426165103913e-11,2.2395388978719713e-10,9.108295798301697e-11,8.037339210510252e-11,1.927280730009079e-05,3.6207609176635745e-05,-0.5699999999999996,-5.278999999999999,10.02,3.8810000000000002,6.04,0.06800000000000003,0.0145
4.2529147416353226e-10,1.2677360534667972e-10,7.029172447621823e-10,7.748869657516479e-11,1.2249643781781196e-10,1.5795863151550292e-05,2.8069278001785277e-05,-0.48999999999999927,-5.261000000000001,15.64,12.920000000000002,15.030000000000001,3.055,0.0117
4.806964576244355e-10,9.556151986122133e-11,2.285998378992081e-10,5.867891192436218e-11,7.635373336076734e-11,1.887073826789856e-05,2.4518990516662596e-05,-0.5680000000000006,-0.956,10.68,1.9620000000000004,3.171,-3.277,0.0118
3.0352030843496326e-10,7.914723619818688e-11,4.725529625425116e-10,5.937534973025322e-11,2.660430557131767e-10,2.5185308456420898e-05,2.787909984588623e-05,-0.34600000000000014,-10.1,16.84,10.509999999999998,13.06,3.014,0.0146
1.751088559627533e-10,3.58459997177124e-11,2.2999005216360095e-10,8.917038202285766e-11,9.035150092840193e-11,1.609410262107849e-05,2.391688346862793e-05,-0.11200000000000095,-1.395000000000001,8.502,2.7440000000000007,4.531,-2.488,0.0108
4.113573893904686e-10,1.245930576324463e-10,7.355094497203828e-10,6.043197244405747e-11,8.871431005001067e-11,2.511161744594574e-05,3.153216993808746e-05,-0.9380000000000006,-4.429000000000001,13.43,9.001,11.24,2.9189999999999996,0.0156
3.5147341685369613e-10,1.0407280683517458e-10,7.150483314990998e-10,4.0846880078315737e-11,2.31168191164732e-10,1.630317544937134e-05,2.4759663581848143e-05,-9.658,-8.869,18.43,10.85,11.05,0.8599999999999999,0.0108
3.470984392799437e-10,3.943334579467773e-11,7.302502875328064e-10,8.909648537635803e-11,2.671862963438034e-10,2.192498778924346e-05,3.5640110254287726e-05,-7.677999999999998,-5.035000000000001,9.436,4.967,8.851,1.7419999999999998,0.0155
3.495696435682476e-10,1.2086524963378908e-10,2.297418956756592e-10,5.852677065879107e-11,1.6743690573610364e-10,2.1745897397398948e-05,2.4258381843566895e-05,-10.74,-1.1509999999999991,12.090000000000002,2.0699999999999994,3.105,-3.15,0.0127
3.456853372976184e-10,5.0064768791198727e-11,7.06076915293932e-10,2.8271505832672122e-11,2.475602784752846e-10,2.775569653511047e-05,2.4055069923400877e-05,-8.31,-9.305,17.49,8.675,11.29,2.139,0.0147
4.834561377763748e-10,8.848611593246461e-11,4.779743813206442e-10,9.150458693504334e-11,1.8477464573271572e-10,2.8186638116836546e-05,3.229126435518265e-05,-1.0829999999999993,-10.37,14.26,11.48,15.0,4.148,0.0165
3.594796035438776e-10,8.406115531921388e-11,6.98574945062399e-10,5.969217762351037e-11,9.942079150676727e-11,2.79154177904129e-05,2.814726901054382e-05,-14.08,-6.868,16.15,11.98,14.64,3.943,0.0156
1.4222321510314942e-10,4.640739440917969e-11,7.314228092432023e-10,3.277112603187561e-11,2.0976442574709655e-10,1.9032401621341707e-05,4.023791599273682e-05,-0.13100000000000095,-2.5880000000000005,3.6229999999999993,0.67,2.281,-4.431,0.0154
3.475543120875955e-10,3.607873439788818e-11,4.729654603283852e-10,9.101962208747864e-11,2.5779172770678997e-10,2.79872008562088e-05,2.3846744537353514e-05,-8.272,-6.072000000000001,16.89,11.18,14.61,3.7150000000000003,0.0147
2.4702800661325457e-10,8.19438323378563e-11,2.236006667017937e-10,3.03497725725174e-11,2.7032412523031234e-10,1.846601688861847e-05,3.699880409240723e-05,-0.20599999999999896,-1.4350000000000012,5.366999999999999,0.5299999999999998,1.4660000000000002,-6.587,0.0145
5.203472524881363e-10,1.2052831649780275e-10,2.364187349677086e-10,9.15513825416565e-11,1.8849069100618362e-10,1.57815101146698e-05,4.049101448059083e-05,-0.46400000000000047,-8.038000000000002,8.854,2.625,4.927,-1.14,0.0145
3.345572832971811e-10,1.0202344179153444e-10,2.2219663608074192e-10,9.210280537605286e-11,2.519615613818169e-10,2.1872716173529626e-05,3.601114082336426e-05,-0.7119999999999997,-5.733999999999999,11.08,3.8140000000000005,5.774,-0.26599999999999996,0.0155
2.975103922188282e-10,4.344502210617065e-11,4.709918084666134e-10,9.047458648681641e-11,8.735886538028716e-11,2.2186214920133354e-05,2.3871042251586912e-05,-0.5979999999999999,-4.309000000000001,17.24,12.15,14.8,3.61,0.0127
3.4560967609286307e-10,7.875570453703403e-11,7.17994896054268e-10,2.926774263381958e-11,1.7419290008349343e-10,1.882481348514557e-05,2.830561065673828e-05,-0.20700000000000088,-6.928999999999999,16.19,9.274,11.17,1.4339999999999997,0.0127
3.5006400085985664e-10,1.2435993671417237e-10,2.305282955169678e-10,2.9208533763885497e-11,1.8813927971571685e-10,1.5992687940597533e-05,3.2265799045562745e-05,-14.16,-1.0690000000000002,6.276,0.6220000000000002,1.4699999999999998,-6.257,0.0126
3.462346160784364e-10,8.245212465524675e-11,2.422131677269936e-10,9.061878204345703e-11,2.0086225395649672e-10,2.5112061262130734e-05,3.6433359622955325e-05,-18.97,-5.567,10.81,3.9990000000000006,6.249,0.857,0.0165
