C1,WNOUT,WPOUT,WCS,WN1,WP1,Bandwidth,PowerConsumption,VoltageGain
1.4916936755180359e-13,1.5294417142868043e-06,3.878647685050965e-06,5.462608337402344e-06,3.419383242726326e-06,4.21798288822174e-06,144000000.0,0.0212,21.13
2.4660563468933106e-13,4.4799005985260015e-06,2.32861165702343e-06,4.5884834229946145e-06,3.368384346365929e-06,4.055596828460693e-06,123000000.00000001,0.0575,17.97
1.4937677383422852e-13,2.4894824624061584e-06,3.664401948451996e-06,4.353603124618531e-06,3.2918930798768995e-06,4.458333432674408e-06,180000000.0,0.0328,19.89
1.474362075328827e-13,2.5092024207115173e-06,4.566574037075043e-06,5.869674146175385e-06,3.6609705239534377e-06,3.630350708961487e-06,93900000.0,0.0359,24.41
1.918510064482689e-13,1.5256690979003908e-06,2.894235916435719e-06,5.4857927262783055e-06,3.108127236366272e-06,4.440028131008148e-06,136000000.0,0.020899999999999995,19.88
1.4940212965011596e-13,2.4967143237590793e-06,1.559196263551712e-06,4.369266271591187e-06,3.279519662261009e-06,4.3238228559494015e-06,186000000.0,0.0315,19.12
1.5006826221942903e-13,4.5327805280685425e-06,2.426781088113785e-06,6.341310501098633e-06,3.547042101621628e-06,3.198495000600815e-06,10199999.999999994,0.0755,44.25
1.48619943857193e-13,2.545059621334076e-06,3.7326281368732453e-06,5.809445381164551e-06,3.661421075463295e-06,3.0933317244052887e-06,8420000.000000004,0.0399,46.4
2.1739773601293564e-13,1.4530624151229858e-06,3.538197085261345e-06,5.1580941677093515e-06,2.534417986869812e-06,2.7958086133003234e-06,12400000.000000006,0.023,39.88
1.5017355382442474e-13,2.518662929534912e-06,3.763970196247101e-06,5.742945313453675e-06,3.3886818289756773e-06,4.19245457649231e-06,157000000.0,0.0346,19.04
1.9169124215841294e-13,1.9385259747505188e-06,2.3193209767341614e-06,5.856335163116456e-06,3.896582126617432e-06,2.499601483345032e-06,91200000.0,0.0864,3.9799999999999995
1.4896392226219178e-13,4.490892738103867e-06,1.9047325551509857e-06,4.547611206769944e-06,3.367388054728508e-06,4.224355518817901e-06,188000000.0,0.0566,18.33
1.7343648076057434e-13,1.7583054900169375e-06,2.2297468185424808e-06,5.357096165418625e-06,3.5932645350694658e-06,2.7271238565444946e-06,9329999.999999996,0.030599999999999992,39.64
1.9340551048517227e-13,4.496795654296875e-06,2.2949869483709337e-06,5.206118568778038e-06,3.523483395576477e-06,3.6423721015453338e-06,130000000.0,0.059,16.07
1.9742570761591197e-13,2.50637224316597e-06,2.7880498319864273e-06,4.511234551668167e-06,3.188765287399292e-06,4.022289514541626e-06,135000000.0,0.032999999999999995,18.92
1.49838125705719e-13,1.531131684780121e-06,2.2807760685682298e-06,6.0550057888031015e-06,2.93431556224823e-06,4.326264798641205e-06,164000000.0,0.020999999999999998,18.77
2.418890029191971e-13,1.4938922524452211e-06,2.326784446835518e-06,5.795620203018189e-06,3.712499752640724e-06,2.6122013330459594e-06,52200000.0,0.0856,5.449999999999999
2.223368763923645e-13,4.4966087043285375e-06,1.4672282338142396e-06,5.451274007558823e-06,3.4059963598847387e-06,3.834928065538406e-06,131000000.0,0.0574,15.300000000000002
2.2085912525653838e-13,3.4989592730998993e-06,3.4575936645269397e-06,4.826117381453515e-06,3.5202578008174895e-06,3.8068793714046477e-06,115000000.0,0.0467,18.21
