C1,WNOUT,WPOUT,WCS,WN1,WP1,Bandwidth,PowerConsumption,VoltageGain
2.442471742630005e-13,1.4931249618530274e-06,2.8045140355825424e-06,4.5596559941768655e-06,3.325414851307869e-06,3.907520622014999e-06,101000000.0,0.020999999999999998,20.09
1.890232838690281e-13,2.5148829370737076e-06,2.866865068674088e-06,5.155399024486542e-06,3.281593903899193e-06,4.030542731285095e-06,142000000.0,0.0337,18.34
1.7838378995656967e-13,4.506620407104493e-06,4.429012566804886e-06,5.3755766153335576e-06,3.679377406835556e-06,3.7416747808456422e-06,126000000.00000001,0.0601,17.97
2.5222298502922057e-13,4.522021651268005e-06,1.59673011302948e-06,3.981443524360657e-06,4.030991554260254e-06,3.81754058599472e-06,107000000.0,0.0553,19.21
1.481183171272278e-13,1.484961748123169e-06,2.4045605063438415e-06,4.498424947261811e-06,3.2424296140670775e-06,3.996055364608764e-06,159000000.0,0.020000000000000007,19.55
1.8225999921560288e-13,1.4868938326835634e-06,1.5817275345325472e-06,4.999316478148103e-06,3.501248466782272e-06,4.058399796485901e-06,148000000.0,0.020599999999999997,18.55
2.0527127012610435e-13,2.5065221786499024e-06,3.1871686801314354e-06,5.270754903554917e-06,3.3031472116708755e-06,3.930103868246078e-06,121000000.0,0.034,18.67
1.996221167035401e-13,2.517438367009163e-06,4.385038733482361e-06,5.484788209199906e-06,3.3963105529546736e-06,3.2992088198661806e-06,59900000.0,0.036,25.080000000000002
2.5159554481506346e-13,4.515412151813507e-06,1.4613518714904786e-06,4.0085529685020454e-06,3.945961266756058e-06,3.816508203744888e-06,108000000.00000001,0.0552,19.1
1.4772989153862e-13,3.517589628696442e-06,2.7887768000364305e-06,5.800460696220398e-06,2.924594759941101e-06,3.904893219470978e-06,161000000.0,0.0467,16.51
2.3685048818588255e-13,2.5141890943050386e-06,2.4194069802761077e-06,4.725044786930085e-06,3.3152964264154436e-06,3.1933467984199523e-06,89200000.0,0.0337,18.12
2.066110610961914e-13,4.502331376075745e-06,1.4822001457214357e-06,4.7617435157299045e-06,3.5898245573043825e-06,3.9684088230133055e-06,138000000.0,0.056100000000000004,17.42
1.836809754371643e-13,1.4777516126632692e-06,2.287547618150711e-06,4.572161942720414e-06,3.21188348531723e-06,4.1865389347076415e-06,147000000.0,0.020099999999999993,19.45
1.8233186453580857e-13,3.521210789680481e-06,1.4791572690010072e-06,5.741533398628235e-06,3.821509301662445e-06,3.5366102010011674e-06,117000000.00000001,0.0458,15.08
1.4842461347579956e-13,4.529692769050599e-06,3.568399786949158e-06,3.961214065551758e-06,3.9115297496318815e-06,4.46221387386322e-06,180000000.0,0.056100000000000004,20.2
1.9798666276037692e-13,2.506683334708214e-06,2.022807776927948e-06,4.116693556308747e-06,3.474751364439726e-06,4.357640504837036e-06,148000000.0,0.0319,19.62
1.4882999658584596e-13,4.511980891227723e-06,3.875617772340774e-06,5.778455615043641e-06,3.1690184473991395e-06,4.386853277683258e-06,185000000.0,0.0593,17.21
2.4199265539646147e-13,2.493116945028305e-06,2.5491101145744327e-06,4.5019878447055825e-06,3.3261336386203767e-06,3.6314958930015565e-06,108000000.00000001,0.03320000000000001,18.32
2.433853417634964e-13,1.5004433691501617e-06,2.5877898037433625e-06,4.656244456768036e-06,3.289584532380104e-06,4.249235391616821e-06,115000000.0,0.021100000000000004,19.71
1.8124194741249085e-13,1.481631875038147e-06,4.138193875551224e-06,5.322183251380921e-06,3.6385392099618913e-06,3.146883875131607e-06,43000000.0,0.0228,30.9
2.49406561255455e-13,2.508618012070656e-06,3.1929101049900055e-06,5.4143767356872565e-06,2.9112284779548645e-06,3.5528062731027602e-06,82300000.0,0.0346,19.42
1.7068714201450348e-13,4.505109965801239e-06,3.973464846611023e-06,5.010250019840896e-06,3.4166169464588165e-06,4.0079674124717715e-06,153000000.0,0.05909999999999999,17.81
1.9746657460927962e-13,3.5372029244899753e-06,1.444004237651825e-06,4.047950267791748e-06,3.3596701174974444e-06,4.391797125339508e-06,151000000.0,0.0427,19.55
1.9375605918467045e-13,3.4655225425958635e-06,3.255578733980656e-06,5.2873426377773295e-06,3.7318676114082336e-06,2.863632559776306e-06,12499999.999999994,0.0496,37.04
1.4834406971931457e-13,3.5103091299533848e-06,4.648465275764466e-06,4.864253580570222e-06,4.128595411777496e-06,4.386205434799195e-06,176000000.0,0.0464,19.46
2.4977374970912934e-13,3.5135010033845905e-06,1.4479830265045167e-06,4.843528121709824e-06,2.9507519602775574e-06,2.8848023414611817e-06,71900000.0,0.0456,14.979999999999999
1.663536012172699e-13,2.5005678534507753e-06,2.590971887111664e-06,5.292187362909317e-06,3.936547756195069e-06,2.8947961926460265e-06,12800000.0,0.0359,38.94
2.496326416730881e-13,3.497771456837654e-06,3.4604285359382633e-06,4.0636317133903506e-06,3.5966844260692596e-06,3.789499908685684e-06,104000000.0,0.0454,19.25
2.551651060581207e-13,2.3416741490364077e-06,1.489905059337616e-06,5.869595289230347e-06,3.333618879318237e-06,2.480093479156494e-06,81600000.0,0.0607,8.240000000000002
1.5044251680374146e-13,1.4792826175689697e-06,2.0003584027290345e-06,4.7578899860382085e-06,3.1595608592033385e-06,4.125035047531128e-06,168000000.0,0.020599999999999997,18.98
2.4305383265018464e-13,2.4946916699409488e-06,1.5386334657669067e-06,4.44640737771988e-06,3.651991471648216e-06,3.78659063577652e-06,115000000.0,0.032400000000000005,18.12
