C1,L1,Rp,Wn,Wn5,Wn6,Wvar,OscillationFrequency,PowerConsumption,OutputPower,PhaseNoise,TuningRange
1.0519807338714599e-13,5.959339976310729e-09,3697.8651583194733,2.7572146415710447e-06,1.1999148249626159e-05,3.202628570795059e-06,4.94992607831955e-06,2670000000.0,0.00647,17.74,-92.72,248000000.00000003
2.087186276912689e-13,4.085947319865226e-09,2842.3015028238297,2.6854387283325193e-06,1.1007585525512695e-05,3.999184036254883e-06,2.984176158905029e-06,3210000000.0,0.00853,18.13,-94.62999999999998,161999999.99999997
2.0306344628334045e-13,2.032137393951416e-09,3054.858520627022,1.6102086067199707e-06,1.2007561326026917e-05,3.205272626876831e-06,2.9573843479156493e-06,5130000000.0,0.00625,17.91,-99.3,311000000.0
1.7504823803901673e-13,4.964487075805663e-09,2748.168371617794,2.817971897125244e-06,1.1986649364233018e-05,2.413328409194946e-06,4.291601836681367e-06,2870000000.0,0.00497,17.44,-104.2,210000000.0
1.2102059125900267e-13,3.166307389736175e-09,1022.8498280048368,2.822383880615234e-06,1.2000776171684266e-05,3.2045522063970567e-06,4.8312039375305185e-06,3770000000.0,0.00647,17.17,-101.6,332000000.0
2.1164783239364623e-13,4.926347136497497e-09,913.702070713043,2.500504970550537e-06,1.0991887390613555e-05,2.414010763168335e-06,4.290379106998444e-06,2870000000.0,0.00529,16.98,-102.5,207000000.0
1.9153914749622344e-13,3.026521027088165e-09,3255.7116746902466,1.682773733139038e-06,1.1009140610694884e-05,2.4149524688720705e-06,3.5208422541618345e-06,4099999999.9999995,0.00517,17.71,-98.66,292000000.0
1.1733965873718262e-13,5.192223191261291e-09,3666.9720113277435,1.9298667907714843e-06,1.1984514832496642e-05,4.003927612304688e-06,3.5519861876964568e-06,3220000000.0,0.0077800000000000005,18.13,-92.94,262000000.0
1.0364302396774292e-13,1.972122192382812e-09,3059.3495219945908,1.2330537796020507e-06,1.1993922919034958e-05,3.196426573395729e-06,4.972291588783265e-06,5490000000.0,0.00612,17.69,-97.92,672000000.0
1.461136944591999e-13,2.0880674123764035e-09,3997.9481995105743,2.0005394533276557e-06,1.1001792192459106e-05,2.410494375228882e-06,4.513838112354279e-06,4930000000.0,0.00524,17.58,-105.5,452000000.0
1.9740051329135895e-13,1.971778392791748e-09,3952.153593301773,2.816628837585449e-06,1.1994035124778747e-05,2.405001974105835e-06,2.9832977056503294e-06,4650000000.0,0.00497,17.62,-101.6,240000000.0
1.541205007582903e-13,4.940381646156311e-09,3244.5173412561417,2.461827993392944e-06,1.1000979363918303e-05,2.4155510902404786e-06,3.0649059414863586e-06,3150000000.0,0.00529,17.74,-97.48,193000000.00000003
9.858176112174988e-14,6.000385999679565e-09,3965.727984905243,1.1691666603088379e-06,1.0983557522296905e-05,3.2053113207221032e-06,3.548659235239029e-06,3320000000.0,0.00656,18.13,-94.41,330000000.0
1.4088389128446578e-13,6.031054496765136e-09,3853.1388640403748,1.9060856997966766e-06,1.0997566044330596e-05,3.998616123199463e-06,4.871692478656769e-06,2740000000.0,0.00835,18.11,-91.12,263000000.0
1.0066099166870117e-13,2.9761241674423216e-09,4232.060790061951,1.7012932538986205e-06,1.2001336872577667e-05,2.428161334991455e-06,4.57429188489914e-06,4390000000.0,0.00482,17.57,-93.01,474000000.0
1.1968701779842376e-13,3.007175505161285e-09,2039.9769246578214,1.2314185619354247e-06,1.199967485666275e-05,3.2032645523548124e-06,3.556654453277588e-06,4640000000.0,0.00612,17.78,-95.79,432000000.00000006
1.1928828656673432e-13,2.0621737241744995e-09,2000.0635534524915,2.0364670991897583e-06,1.1001137554645537e-05,2.416345739364624e-06,3.4718372225761413e-06,5270000000.0,0.00524,17.51,-98.82,426000000.0
2.0096040964126587e-13,2.050863742828369e-09,3254.0746331214905,2.804167652130127e-06,1.1999716401100158e-05,3.197867342829704e-06,3.977967672049999e-06,4480000000.0,0.00647,17.7,-100.1,285000000.0
1.9809601604938506e-13,5.979376554489135e-09,4016.9642567634583,1.29284405708313e-06,1.199810180068016e-05,3.1905489921569824e-06,3.889619089663029e-06,2890000000.0,0.00612,17.99,-96.15,233000000.0
2.0212833881378174e-13,5.032001733779907e-09,3883.7135434150696,1.9706061363220217e-06,1.1999956488609314e-05,3.19877373278141e-06,3.029503583908081e-06,3070000000.0,0.00635,18.02,-96.59,170000000.0
1.1094733774662018e-13,4.84717571735382e-09,3341.165691614151,1.5146567344665528e-06,1.1001606464385986e-05,3.997945976257325e-06,3.2785578370094297e-06,3550000000.0,0.0082,18.27,-91.06,300000000.0
1.9123495519161225e-13,2.925507545471191e-09,3814.3340051174164,2.6484259128570558e-06,1.1012422144412993e-05,4.009776020050049e-06,4.230261236429215e-06,3680000000.0,0.00853,18.02,-95.41,249000000.00000003
1.858840137720108e-13,3.1471897959709163e-09,3774.4280993938446,1.273132848739624e-06,1.1002700090408325e-05,2.4177703380584717e-06,4.873421788215638e-06,4020000000.0,0.00508,17.62,-99.91,405000000.0
1.8574123680591583e-13,6.026304960250854e-09,3624.0968108177185,1.93283354640007e-06,1.1000963568687439e-05,3.987793827056885e-06,4.5015805959701545e-06,2660000000.0,0.00835,18.13,-92.11,218000000.00000003
1.4963373895734547e-13,2.057462692260742e-09,2011.294364929199,2.803920364379883e-06,1.1004608809947968e-05,2.411221265792847e-06,4.560010731220246e-06,4620000000.0,0.00533,17.35,-99.24,372000000.0
1.880960911512375e-13,6.055336475372314e-09,3428.1987249851227,2.2912051677703858e-06,1.1005534708499907e-05,3.989095640182495e-06,3.822199791669846e-06,2630000000.0,0.00845,18.16,-92.80999999999999,184000000.0
1.3491110205650329e-13,3.0176485180854796e-09,2038.0364358425138,2.3773651361465452e-06,1.1004492580890654e-05,3.200920522212982e-06,5.017874360084534e-06,3860000000.0,0.00688,17.62,-99.43,356000000.0
1.857086479663849e-13,4.910625219345092e-09,3930.9759438037872,2.7345801830291746e-06,1.1991231203079223e-05,3.994466781616211e-06,4.217940658330918e-06,2820000000.0,0.00795,18.0,-95.53,199000000.0
1.426304265856743e-13,5.112555742263793e-09,3923.0460822582245,2.451913022994995e-06,1.1997908145189285e-05,3.196246612071991e-06,5.001979470252991e-06,2900000000.0,0.00642,17.75,-97.62,261000000.0
1.4456163309514523e-13,2.0408790111541746e-09,1954.3618857860563,1.667011547088623e-06,1.1999492824077606e-05,2.4092143058776857e-06,4.875529348850251e-06,5030000000.0,0.00482,17.26,-93.99,536000000.0
1.2218020260334015e-13,3.0222375988960263e-09,1061.7305934429166,1.596111011505127e-06,1.1012210011482238e-05,3.1913285076618195e-06,3.0728492736816404e-06,4730000000.0,0.00671,17.54,-94.02,376000000.0
1.327131897211075e-13,5.071823239326476e-09,1164.9980545043943,2.309881377220154e-06,1.1012303709983826e-05,3.992362642288208e-06,4.671489536762238e-06,3030000000.0,0.00845,17.64,-93.46999999999998,181000000.0
1.6126492992043495e-13,5.115683078765868e-09,3337.8443121910095,2.701149654388428e-06,1.1001727581024168e-05,4.001253223419189e-06,5.044440627098084e-06,2770000000.0,0.00853,17.99,-86.74000000000001,233000000.0
1.978730171918869e-13,3.108249902725219e-09,1974.2123782634733,2.822930908203125e-06,1.10047407746315e-05,2.4054619312286377e-06,3.445359945297241e-06,3720000000.0,0.00533,17.48,-101.3,220999999.99999997
1.1856886446475983e-13,3.91089180111885e-09,3460.742235183716,1.9569584131240843e-06,1.1006589889526366e-05,3.213779717683792e-06,3.6329583823680877e-06,3759999999.9999995,0.00681,17.95,-97.6,306000000.0
1.3594166338443755e-13,2.0294373035430908e-09,3593.2036638259888,2.241137933731079e-06,1.1004929482936858e-05,4.0050183296203615e-06,3.0254932641983033e-06,5120000000.0,0.00845,18.14,-94.01,318000000.0
1.0510633885860443e-13,6.136587142944335e-09,980.094254016876,2.303926634788513e-06,1.0995037496089935e-05,3.995773792266846e-06,4.922323524951935e-06,2770000000.0,0.00845,17.6,-91.08,284000000.0
1.7805058658123016e-13,2.981977343559265e-09,2004.9744099378584,1.229341697692871e-06,1.2002051115036011e-05,3.989848279953003e-06,3.103569149971008e-06,4440000000.0,0.00746,18.06,-96.16,302000000.0
1.857742965221405e-13,5.990018248558044e-09,1926.5019148588178,2.407094621658325e-06,1.1986969202756881e-05,3.988901472091675e-06,4.9426607489585885e-06,2560000000.0,0.00787,17.82,-94.72,209000000.0
1.976548582315445e-13,3.0279844403266905e-09,3319.175511598587,1.9578746259212492e-06,1.2000437438488007e-05,3.988556385040283e-06,4.50174367427826e-06,3770000000.0,0.0077800000000000005,17.96,-87.03,287000000.0
