C1,L1,Rp,Wn,Wn5,Wn6,Wvar,OscillationFrequency,PowerConsumption,OutputPower,PhaseNoise,TuningRange
1.0106248557567597e-13,4.917745411396026e-09,1985.6423437595365,1.2105557918548584e-06,1.2010558724403381e-05,2.3935786247253416e-06,4.9889582395553595e-06,3450000000.0,0.00473,17.34,-93.97,441999999.99999994
1.9794944822788238e-13,3.0662850141525266e-09,2033.4636718034742,1.2067346096038819e-06,1.2011521697044372e-05,2.3822818756103517e-06,3.980306481942534e-06,4189999999.9999995,0.00473,17.43,-98.42,370000000.0
1.0568108260631562e-13,1.954270601272583e-09,3991.9425547122955,1.601163911819458e-06,1.2002002656459808e-05,3.2033186309039594e-06,4.453124552965164e-06,5370000000.0,0.00625,17.78,-92.62000000000002,555000000.0
1.0631254017353058e-13,2.0101165771484373e-09,1003.320664167404,1.9632001340389254e-06,1.0993290185928344e-05,3.196440010517836e-06,3.0212271809577943e-06,5560000000.0,0.00681,17.5,-92.2,424000000.0
1.2726883441209793e-13,5.4037718772888175e-09,2416.195809841156,2.81041841506958e-06,1.0985885441303252e-05,2.386757946014404e-06,3.983302002772689e-06,2860000000.0,0.00533,17.53,-97.44,216000000.00000003
1.19194957613945e-13,3.0638020038604733e-09,3911.56542301178,1.185406494140625e-06,1.2005887031555176e-05,3.2052046053111553e-06,4.353713005781174e-06,4420000000.0,0.00612,17.85,-99.21999999999998,459000000.0
1.2307289838790893e-13,3.0850840806961054e-09,1946.8992650508878,1.1922856330871583e-06,1.0989721834659576e-05,4.013306617736816e-06,5.081693649291993e-06,4290000000.0000005,0.008,17.91,-89.87,479000000.0
1.3012471497058869e-13,2.013730764389038e-09,3144.0434008836746,1.1887452125549316e-06,1.2009089469909667e-05,3.2019273214042186e-06,3.4114869236946106e-06,5720000000.0,0.00612,17.88,-93.91,504999999.99999994
1.2552308291196823e-13,3.932969830930233e-09,962.0370864868162,2.3974024057388307e-06,1.0989202857017516e-05,4.024090003967285e-06,3.1105735301971434e-06,3620000000.0,0.00845,17.77,-92.94,241000000.0
1.1510518193244935e-13,4.097909152507781e-09,3800.186961889267,2.8027859687805176e-06,1.200858610868454e-05,3.996567964553833e-06,4.948593676090241e-06,3200000000.0,0.00795,17.89,-96.26999999999998,276000000.0
1.396791882812977e-13,4.8436495661735525e-09,3755.610078573227,1.1529922485351563e-06,1.2009276330471039e-05,4.016241073608398e-06,3.7597943246364594e-06,3520000000.0,0.00746,18.18,-95.34,306000000.0
1.8221241533756256e-13,4.80366951227188e-09,2044.7735637426374,2.3560693502426146e-06,1.0988184213638305e-05,4.021729946136475e-06,4.921861946582795e-06,2870000000.0,0.00845,17.9,-95.56,237000000.0
1.0786714553833008e-13,5.851193308830261e-09,966.9988155364988,1.5615123748779297e-06,1.0998097538948058e-05,3.203708889335394e-06,2.9139455556869504e-06,3320000000.0,0.00671,17.58,-89.77,269000000.0
1.3307106941938401e-13,2.9207776784896848e-09,979.6883463859556,1.9861592426896096e-06,1.2001930832862853e-05,4.0132116317749025e-06,4.93373316526413e-06,4000000000.0,0.0077800000000000005,17.48,-88.97,381000000.0
2.0215637087821961e-13,2.9540284872055052e-09,1002.4610161781309,1.1862368583679198e-06,1.0991223871707915e-05,2.393064308166504e-06,3.546877861022949e-06,4290000000.0000005,0.00508,17.05,-106.7,355000000.0
1.4987138658761977e-13,5.964904427528381e-09,1980.711594223976,2.0144471123814583e-06,1.0995131075382231e-05,2.3995484352111815e-06,3.994976846501231e-06,2860000000.0,0.00524,17.53,-96.71,234000000.0
1.6635724902153014e-13,3.549818724393844e-09,2396.6176621615887,1.6009058952331544e-06,1.1002279490232467e-05,2.3848121643066404e-06,3.839924916625023e-06,3950000000.0000005,0.00517,17.59,-96.89999999999999,331000000.0
1.8123039901256562e-13,2.9916478395462033e-09,3833.9816331863403,1.941151636838913e-06,1.0989577651023864e-05,3.1844415068626403e-06,3.0240392684936524e-06,4099999999.9999995,0.00681,18.02,-95.95,247000000.00000003
1.3559621423482896e-13,6.033102989196776e-09,958.7621092796323,2.3492074966430665e-06,1.2004155695438385e-05,4.01125841140747e-06,3.901118643581867e-06,2820000000.0,0.00787,17.61,-93.41,220000000.00000003
1.2990074753761293e-13,4.849998831748962e-09,3472.3302721977234,2.8352240562438964e-06,1.0990261554718017e-05,3.1952587239444257e-06,3.6584595441818237e-06,3030000000.0,0.00694,17.9,-95.43999999999998,210000000.0
1.9032070040702819e-13,5.061197042465209e-09,935.3934526443479,1.5651332378387452e-06,1.0985833287239073e-05,4.013234901428223e-06,3.0450317263603208e-06,3200000000.0,0.0082,17.84,-94.7,215000000.0
1.7585973143577575e-13,6.013299942016601e-09,2904.7353714704514,1.976004694402218e-06,1.2009516417980195e-05,4.011721420288086e-06,5.004668474197389e-06,2630000000.0,0.0077800000000000005,17.94,-96.26,231000000.0
1.5521647669374942e-13,1.990100860595703e-09,947.6972818374632,2.0084869168698786e-06,1.2003026127815247e-05,2.396720027923584e-06,2.9444061517715455e-06,5270000000.0,0.00488,16.96,-103.6,373000000.0
1.9749955236911773e-13,4.066180326044559e-09,1940.3940141201017,1.5629924297332763e-06,1.0981013655662535e-05,4.013885688781738e-06,3.5890101790428163e-06,3490000000.0,0.0082,18.07,-92.4,241000000.0
1.4767617639154195e-13,2.0482307672500608e-09,3118.397504091263,1.6242906093597412e-06,1.2005484223365783e-05,2.388815689086914e-06,4.5154255628585824e-06,5120000000.0,0.00482,17.46,-102.9,496000000.00000006
1.4892651177942752e-13,2.928798913955688e-09,3903.5870134830475,2.797495937347412e-06,1.0993862628936767e-05,2.405048418045044e-06,3.4527778029441833e-06,3879999999.9999995,0.00533,17.66,-96.39999999999999,251999999.99999997
1.0400229096412659e-13,2.9526410102844236e-09,2109.254002571106,1.5490428924560547e-06,1.201188588142395e-05,4.021028327941895e-06,3.656388908624649e-06,4550000000.0,0.007640000000000001,17.96,-97.47,408000000.0
